ID_powiatu,year,p2013-hotele-4-i-5-gwiazdkowemotelepensjonaty-w-ogólnej-liczbie-hotelimotelipensjonatów-ogółem
011212001000,2002,0.0
011212001000,2003,0.0
011212001000,2004,0.0
011212001000,2005,0.0
011212001000,2006,0.0
011212001000,2007,0.0
011212001000,2008,0.0
011212001000,2009,0.0
011212001000,2010,0.0
011212001000,2011,0.0
011212001000,2012,0.0
011212001000,2013,0.0
011212001000,2014,0.0
011212001000,2015,0.0
011212001000,2016,0.0
011212001000,2017,0.0
011212001000,2018,0.0
011212001000,2019,0.0
011212001000,2020,0.0
011212006000,2002,0.0
011212006000,2003,0.0
011212006000,2004,0.0
011212006000,2005,0.0
011212006000,2006,0.0
011212006000,2007,0.0
011212006000,2008,9.09
011212006000,2009,9.09
011212006000,2010,8.33
011212006000,2011,7.14
011212006000,2012,7.69
011212006000,2013,8.33
011212006000,2014,7.69
011212006000,2015,14.29
011212006000,2016,14.29
011212006000,2017,14.29
011212006000,2018,14.29
011212006000,2019,14.29
011212006000,2020,15.38
011212008000,2002,0.0
011212008000,2003,0.0
011212008000,2004,0.0
011212008000,2005,0.0
011212008000,2006,0.0
011212008000,2007,0.0
011212008000,2008,0.0
011212008000,2009,0.0
011212008000,2010,0.0
011212008000,2011,0.0
011212008000,2012,50.0
011212008000,2013,50.0
011212008000,2014,50.0
011212008000,2015,50.0
011212008000,2016,25.0
011212008000,2017,25.0
011212008000,2018,25.0
011212008000,2019,25.0
011212008000,2020,25.0
011212009000,2002,0.0
011212009000,2003,0.0
011212009000,2004,0.0
011212009000,2005,0.0
011212009000,2006,0.0
011212009000,2007,0.0
011212009000,2008,0.0
011212009000,2009,0.0
011212009000,2010,0.0
011212009000,2011,0.0
011212009000,2012,0.0
011212009000,2013,0.0
011212009000,2014,28.57
011212009000,2015,25.0
011212009000,2016,18.18
011212009000,2017,15.38
011212009000,2018,20.0
011212009000,2019,20.0
011212009000,2020,22.22
011212014000,2002,0.0
011212014000,2003,0.0
011212014000,2004,0.0
011212014000,2005,0.0
011212014000,2006,0.0
011212014000,2007,0.0
011212014000,2008,0.0
011212014000,2009,50.0
011212014000,2010,50.0
011212014000,2011,33.33
011212014000,2012,25.0
011212014000,2013,25.0
011212014000,2014,25.0
011212014000,2015,25.0
011212014000,2016,25.0
011212014000,2017,25.0
011212014000,2018,25.0
011212014000,2019,25.0
011212014000,2020,25.0
011212019000,2002,0.0
011212019000,2003,0.0
011212019000,2004,0.0
011212019000,2005,0.0
011212019000,2006,0.0
011212019000,2007,12.5
011212019000,2008,14.29
011212019000,2009,7.14
011212019000,2010,15.38
011212019000,2011,12.5
011212019000,2012,11.76
011212019000,2013,13.33
011212019000,2014,16.67
011212019000,2015,15.0
011212019000,2016,15.79
011212019000,2017,14.29
011212019000,2018,13.64
011212019000,2019,13.04
011212019000,2020,15.0
011212161000,2002,8.96
011212161000,2003,7.79
011212161000,2004,10.23
011212161000,2005,10.87
011212161000,2006,12.37
011212161000,2007,14.42
011212161000,2008,14.78
011212161000,2009,14.84
011212161000,2010,20.3
011212161000,2011,23.13
011212161000,2012,25.74
011212161000,2013,25.37
011212161000,2014,27.94
011212161000,2015,28.57
011212161000,2016,29.53
011212161000,2017,31.85
011212161000,2018,31.9
011212161000,2019,36.42
011212161000,2020,35.48
011212205000,2002,0.0
011212205000,2003,0.0
011212205000,2004,0.0
011212205000,2005,0.0
011212205000,2006,0.0
011212205000,2007,0.0
011212205000,2008,0.0
011212205000,2009,0.0
011212205000,2010,0.0
011212205000,2011,0.0
011212205000,2012,0.0
011212205000,2013,0.0
011212205000,2014,0.0
011212205000,2015,0.0
011212205000,2016,0.0
011212205000,2017,0.0
011212205000,2018,0.0
011212205000,2019,0.0
011212205000,2020,0.0
011212207000,2002,0.0
011212207000,2003,0.0
011212207000,2004,0.0
011212207000,2005,0.0
011212207000,2006,0.0
011212207000,2007,0.0
011212207000,2008,0.0
011212207000,2009,25.0
011212207000,2010,20.0
011212207000,2011,16.67
011212207000,2012,14.29
011212207000,2013,12.5
011212207000,2014,16.67
011212207000,2015,16.67
011212207000,2016,12.5
011212207000,2017,11.11
011212207000,2018,11.11
011212207000,2019,12.5
011212207000,2020,12.5
011212210000,2002,7.69
011212210000,2003,5.71
011212210000,2004,3.23
011212210000,2005,3.57
011212210000,2006,3.7
011212210000,2007,3.85
011212210000,2008,7.41
011212210000,2009,9.38
011212210000,2010,13.33
011212210000,2011,19.35
011212210000,2012,19.35
011212210000,2013,18.18
011212210000,2014,23.08
011212210000,2015,21.95
011212210000,2016,23.81
011212210000,2017,22.22
011212210000,2018,22.22
011212210000,2019,22.22
011212210000,2020,23.81
011212262000,2002,0.0
011212262000,2003,0.0
011212262000,2004,0.0
011212262000,2005,0.0
011212262000,2006,0.0
011212262000,2007,0.0
011212262000,2008,0.0
011212262000,2009,0.0
011212262000,2010,0.0
011212262000,2011,0.0
011212262000,2012,25.0
011212262000,2013,25.0
011212262000,2014,25.0
011212262000,2015,25.0
011212262000,2016,20.0
011212262000,2017,16.67
011212262000,2018,16.67
011212262000,2019,16.67
011212262000,2020,16.67
011212303000,2002,0.0
011212303000,2003,0.0
011212303000,2004,0.0
011212303000,2005,0.0
011212303000,2006,0.0
011212303000,2007,0.0
011212303000,2008,0.0
011212303000,2009,0.0
011212303000,2010,0.0
011212303000,2011,0.0
011212303000,2012,0.0
011212303000,2013,0.0
011212303000,2014,0.0
011212303000,2015,0.0
011212303000,2016,0.0
011212303000,2017,0.0
011212303000,2018,0.0
011212303000,2019,0.0
011212303000,2020,0.0
011212312000,2002,0.0
011212312000,2003,0.0
011212312000,2004,0.0
011212312000,2005,0.0
011212312000,2006,0.0
011212312000,2007,0.0
011212312000,2008,0.0
011212312000,2009,0.0
011212312000,2010,0.0
011212312000,2011,0.0
011212312000,2012,0.0
011212312000,2013,0.0
011212312000,2014,0.0
011212312000,2015,0.0
011212312000,2016,0.0
011212312000,2017,0.0
011212312000,2018,0.0
011212312000,2019,0.0
011212312000,2020,0.0
011212313000,2002,0.0
011212313000,2003,0.0
011212313000,2004,0.0
011212313000,2005,0.0
011212313000,2006,0.0
011212313000,2007,0.0
011212313000,2008,0.0
011212313000,2009,0.0
011212313000,2010,0.0
011212313000,2011,0.0
011212313000,2012,0.0
011212313000,2013,0.0
011212313000,2014,0.0
011212313000,2015,0.0
011212313000,2016,0.0
011212313000,2017,22.22
011212313000,2018,18.18
011212313000,2019,16.67
011212313000,2020,16.67
011212318000,2002,0.0
011212318000,2003,0.0
011212318000,2004,0.0
011212318000,2005,0.0
011212318000,2006,0.0
011212318000,2007,20.0
011212318000,2008,25.0
011212318000,2009,20.0
011212318000,2010,14.29
011212318000,2011,12.5
011212318000,2012,11.11
011212318000,2013,25.0
011212318000,2014,33.33
011212318000,2015,33.33
011212318000,2016,45.45
011212318000,2017,45.45
011212318000,2018,45.45
011212318000,2019,45.45
011212318000,2020,45.45
011212402000,2002,0.0
011212402000,2003,0.0
011212402000,2004,0.0
011212402000,2005,0.0
011212402000,2006,0.0
011212402000,2007,0.0
011212402000,2008,0.0
011212402000,2009,0.0
011212402000,2010,0.0
011212402000,2011,0.0
011212402000,2012,0.0
011212402000,2013,0.0
011212402000,2014,0.0
011212402000,2015,0.0
011212402000,2016,0.0
011212402000,2017,0.0
011212402000,2018,0.0
011212402000,2019,0.0
011212402000,2020,0.0
011212404000,2002,0.0
011212404000,2003,0.0
011212404000,2004,0.0
011212404000,2005,0.0
011212404000,2006,0.0
011212404000,2007,0.0
011212404000,2008,0.0
011212404000,2009,0.0
011212404000,2010,0.0
011212404000,2011,0.0
011212404000,2012,0.0
011212404000,2013,100.0
011212404000,2014,100.0
011212404000,2015,100.0
011212404000,2016,100.0
011212404000,2017,100.0
011212404000,2018,100.0
011212404000,2019,100.0
011212404000,2020,0.0
011212416000,2002,0.0
011212416000,2003,0.0
011212416000,2004,0.0
011212416000,2005,0.0
011212416000,2006,0.0
011212416000,2007,0.0
011212416000,2008,0.0
011212416000,2009,0.0
011212416000,2010,0.0
011212416000,2011,0.0
011212416000,2012,0.0
011212416000,2013,0.0
011212416000,2014,0.0
011212416000,2015,0.0
011212416000,2016,0.0
011212416000,2017,0.0
011212416000,2018,0.0
011212416000,2019,12.5
011212416000,2020,12.5
011212463000,2002,0.0
011212463000,2003,0.0
011212463000,2004,33.33
011212463000,2005,33.33
011212463000,2006,25.0
011212463000,2007,25.0
011212463000,2008,25.0
011212463000,2009,25.0
011212463000,2010,25.0
011212463000,2011,20.0
011212463000,2012,14.29
011212463000,2013,14.29
011212463000,2014,14.29
011212463000,2015,12.5
011212463000,2016,12.5
011212463000,2017,12.5
011212463000,2018,12.5
011212463000,2019,12.5
011212463000,2020,12.5
011216911000,2002,6.25
011216911000,2003,10.53
011216911000,2004,0.0
011216911000,2005,0.0
011216911000,2006,0.0
011216911000,2007,0.0
011216911000,2008,0.0
011216911000,2009,3.33
011216911000,2010,6.45
011216911000,2011,9.09
011216911000,2012,9.68
011216911000,2013,9.38
011216911000,2014,11.43
011216911000,2015,10.53
011216911000,2016,10.26
011216911000,2017,7.14
011216911000,2018,6.67
011216911000,2019,8.7
011216911000,2020,11.63
011216915000,2002,0.0
011216915000,2003,0.0
011216915000,2004,0.0
011216915000,2005,0.0
011216915000,2006,0.0
011216915000,2007,0.0
011216915000,2008,0.0
011216915000,2009,0.0
011216915000,2010,0.0
011216915000,2011,0.0
011216915000,2012,0.0
011216915000,2013,0.0
011216915000,2014,0.0
011216915000,2015,0.0
011216915000,2016,0.0
