ID_powiatu,year,p2420-pojazdy-samochodowe-i-ciągniki-na-1000-ludności
011212001000,2009,530
011212001000,2010,550
011212001000,2011,573
011212001000,2012,588
011212001000,2013,605
011212001000,2014,624
011212001000,2015,646
011212001000,2016,676
011212001000,2017,699
011212001000,2018,726
011212001000,2019,755
011212001000,2020,782
011212006000,2009,698
011212006000,2010,711
011212006000,2011,742
011212006000,2012,755
011212006000,2013,773
011212006000,2014,788
011212006000,2015,808
011212006000,2016,831
011212006000,2017,854
011212006000,2018,875
011212006000,2019,904
011212006000,2020,925
011212008000,2009,751
011212008000,2010,779
011212008000,2011,824
011212008000,2012,845
011212008000,2013,871
011212008000,2014,895
011212008000,2015,923
011212008000,2016,956
011212008000,2017,987
011212008000,2018,1022
011212008000,2019,1069
011212008000,2020,1110
011212009000,2009,619
011212009000,2010,639
011212009000,2011,669
011212009000,2012,683
011212009000,2013,700
011212009000,2014,717
011212009000,2015,743
011212009000,2016,770
011212009000,2017,794
011212009000,2018,820
011212009000,2019,849
011212009000,2020,874
011212014000,2009,842
011212014000,2010,870
011212014000,2011,916
011212014000,2012,940
011212014000,2013,969
011212014000,2014,995
011212014000,2015,1028
011212014000,2016,1065
011212014000,2017,1093
011212014000,2018,1128
011212014000,2019,1174
011212014000,2020,1215
011212019000,2009,659
011212019000,2010,670
011212019000,2011,695
011212019000,2012,707
011212019000,2013,721
011212019000,2014,732
011212019000,2015,749
011212019000,2016,771
011212019000,2017,788
011212019000,2018,811
011212019000,2019,833
011212019000,2020,856
011212161000,2009,553
011212161000,2010,575
011212161000,2011,599
011212161000,2012,617
011212161000,2013,636
011212161000,2014,652
011212161000,2015,679
011212161000,2016,712
011212161000,2017,741
011212161000,2018,773
011212161000,2019,797
011212161000,2020,821
011212205000,2009,532
011212205000,2010,545
011212205000,2011,575
011212205000,2012,587
011212205000,2013,602
011212205000,2014,615
011212205000,2015,637
011212205000,2016,663
011212205000,2017,685
011212205000,2018,709
011212205000,2019,738
011212205000,2020,764
011212207000,2009,571
011212207000,2010,585
011212207000,2011,616
011212207000,2012,630
011212207000,2013,648
011212207000,2014,664
011212207000,2015,688
011212207000,2016,718
011212207000,2017,742
011212207000,2018,769
011212207000,2019,802
011212207000,2020,829
011212210000,2009,433
011212210000,2010,447
011212210000,2011,441
011212210000,2012,486
011212210000,2013,500
011212210000,2014,517
011212210000,2015,537
011212210000,2016,565
011212210000,2017,585
011212210000,2018,607
011212210000,2019,635
011212210000,2020,662
011212262000,2009,466
011212262000,2010,489
011212262000,2011,514
011212262000,2012,527
011212262000,2013,540
011212262000,2014,557
011212262000,2015,585
011212262000,2016,620
011212262000,2017,652
011212262000,2018,694
011212262000,2019,730
011212262000,2020,778
011212303000,2009,522
011212303000,2010,546
011212303000,2011,575
011212303000,2012,592
011212303000,2013,612
011212303000,2014,628
011212303000,2015,651
011212303000,2016,678
011212303000,2017,698
011212303000,2018,721
011212303000,2019,749
011212303000,2020,771
011212312000,2009,565
011212312000,2010,592
011212312000,2011,625
011212312000,2012,649
011212312000,2013,676
011212312000,2014,702
011212312000,2015,728
011212312000,2016,758
011212312000,2017,777
011212312000,2018,804
011212312000,2019,840
011212312000,2020,872
011212313000,2009,532
011212313000,2010,550
011212313000,2011,574
011212313000,2012,588
011212313000,2013,604
011212313000,2014,621
011212313000,2015,642
011212313000,2016,667
011212313000,2017,686
011212313000,2018,710
011212313000,2019,734
011212313000,2020,756
011212318000,2009,525
011212318000,2010,548
011212318000,2011,582
011212318000,2012,602
011212318000,2013,625
011212318000,2014,646
011212318000,2015,669
011212318000,2016,700
