ID_powiatu,year,p2420-samochody-osobowe-na-1000-ludności
011212001000,2009,393.6
011212001000,2010,407.5
011212001000,2011,425.2
011212001000,2012,437.6
011212001000,2013,449.6
011212001000,2014,463.7
011212001000,2015,479.9
011212001000,2016,503.6
011212001000,2017,521.9
011212001000,2018,542.4
011212001000,2019,564.4
011212001000,2020,583.5
011212006000,2009,503.3
011212006000,2010,514.3
011212006000,2011,538.3
011212006000,2012,550.3
011212006000,2013,564.4
011212006000,2014,576.3
011212006000,2015,592.4
011212006000,2016,610.8
011212006000,2017,629.0
011212006000,2018,645.7
011212006000,2019,667.4
011212006000,2020,682.9
011212008000,2009,440.5
011212008000,2010,458.7
011212008000,2011,487.6
011212008000,2012,505.4
011212008000,2013,523.3
011212008000,2014,539.0
011212008000,2015,557.6
011212008000,2016,580.7
011212008000,2017,602.9
011212008000,2018,628.2
011212008000,2019,657.6
011212008000,2020,683.9
011212009000,2009,449.7
011212009000,2010,465.7
011212009000,2011,489.1
011212009000,2012,501.8
011212009000,2013,514.4
011212009000,2014,528.6
011212009000,2015,547.8
011212009000,2016,568.1
011212009000,2017,587.0
011212009000,2018,606.8
011212009000,2019,629.1
011212009000,2020,647.0
011212014000,2009,489.2
011212014000,2010,510.0
011212014000,2011,540.5
011212014000,2012,558.4
011212014000,2013,576.9
011212014000,2014,592.7
011212014000,2015,612.6
011212014000,2016,637.0
011212014000,2017,658.9
011212014000,2018,684.8
011212014000,2019,717.2
011212014000,2020,743.8
011212019000,2009,500.0
011212019000,2010,509.1
011212019000,2011,528.7
011212019000,2012,539.8
011212019000,2013,550.7
011212019000,2014,558.6
011212019000,2015,573.3
011212019000,2016,590.2
011212019000,2017,605.6
011212019000,2018,622.9
011212019000,2019,639.9
011212019000,2020,658.0
011212161000,2009,451.5
011212161000,2010,466.6
011212161000,2011,485.6
011212161000,2012,503.2
011212161000,2013,521.2
011212161000,2014,534.1
011212161000,2015,557.1
011212161000,2016,585.4
011212161000,2017,610.7
011212161000,2018,639.4
011212161000,2019,659.8
011212161000,2020,681.1
011212205000,2009,379.3
011212205000,2010,388.5
011212205000,2011,411.5
011212205000,2012,421.4
011212205000,2013,431.7
011212205000,2014,441.6
011212205000,2015,456.7
011212205000,2016,477.0
011212205000,2017,492.7
011212205000,2018,510.8
011212205000,2019,532.4
011212205000,2020,551.4
011212207000,2009,425.1
011212207000,2010,432.9
011212207000,2011,453.9
011212207000,2012,464.9
011212207000,2013,476.2
011212207000,2014,485.0
011212207000,2015,500.8
011212207000,2016,521.5
011212207000,2017,538.1
011212207000,2018,556.1
011212207000,2019,578.2
011212207000,2020,595.7
011212210000,2009,325.8
011212210000,2010,334.4
011212210000,2011,321.3
011212210000,2012,363.0
011212210000,2013,371.4
011212210000,2014,383.2
011212210000,2015,397.4
011212210000,2016,418.9
011212210000,2017,432.7
011212210000,2018,447.6
011212210000,2019,468.6
011212210000,2020,486.1
011212262000,2009,358.8
011212262000,2010,372.6
011212262000,2011,390.4
011212262000,2012,400.9
011212262000,2013,410.4
011212262000,2014,421.5
011212262000,2015,439.2
011212262000,2016,461.7
011212262000,2017,483.6
011212262000,2018,512.6
011212262000,2019,537.3
011212262000,2020,565.4
011212303000,2009,426.6
011212303000,2010,446.2
011212303000,2011,469.4
011212303000,2012,484.6
011212303000,2013,501.3
011212303000,2014,514.9
011212303000,2015,533.0
011212303000,2016,555.0
011212303000,2017,571.6
011212303000,2018,590.4
011212303000,2019,613.2
011212303000,2020,630.1
011212312000,2009,427.1
011212312000,2010,447.0
011212312000,2011,472.9
011212312000,2012,492.3
011212312000,2013,512.9
011212312000,2014,532.9
011212312000,2015,552.2
011212312000,2016,574.7
011212312000,2017,588.9
011212312000,2018,610.1
011212312000,2019,637.2
011212312000,2020,659.1
011212313000,2009,439.1
011212313000,2010,453.7
011212313000,2011,474.2
011212313000,2012,487.1
011212313000,2013,500.9
011212313000,2014,514.6
011212313000,2015,532.0
011212313000,2016,552.0
011212313000,2017,568.5
011212313000,2018,589.1
011212313000,2019,609.1
011212313000,2020,626.4
011212318000,2009,404.2
011212318000,2010,423.4
011212318000,2011,451.5
011212318000,2012,468.5
011212318000,2013,487.5
011212318000,2014,503.9
011212318000,2015,522.4
011212318000,2016,548.6
011212318000,2017,569.4
011212318000,2018,592.6
011212318000,2019,617.4
011212318000,2020,637.8
011212402000,2009,394.8
011212402000,2010,412.1
011212402000,2011,435.3
011212402000,2012,450.6
011212402000,2013,464.0
011212402000,2014,478.2
011212402000,2015,496.1
011212402000,2016,520.1
011212402000,2017,536.9
011212402000,2018,558.1
011212402000,2019,580.7
011212402000,2020,600.9
011212404000,2009,413.3
011212404000,2010,430.6
011212404000,2011,449.4
011212404000,2012,464.1
011212404000,2013,477.7
011212404000,2014,488.9
011212404000,2015,505.0
011212404000,2016,528.9
011212404000,2017,545.2
011212404000,2018,562.8
011212404000,2019,585.6
011212404000,2020,606.6
011212416000,2009,394.6
011212416000,2010,415.1
011212416000,2011,438.7
011212416000,2012,454.0
011212416000,2013,468.9
011212416000,2014,484.5
011212416000,2015,500.8
011212416000,2016,523.0
011212416000,2017,542.2
011212416000,2018,565.3
011212416000,2019,592.2
011212416000,2020,610.4
011212463000,2009,359.3
011212463000,2010,376.0
011212463000,2011,393.4
011212463000,2012,405.8
011212463000,2013,419.1
011212463000,2014,432.4
011212463000,2015,447.5
011212463000,2016,467.3
011212463000,2017,483.7
011212463000,2018,505.2
011212463000,2019,522.2
011212463000,2020,543.7
011216911000,2009,314.1
011216911000,2010,325.7
011216911000,2011,342.9
011216911000,2012,350.8
011216911000,2013,360.0
011216911000,2014,369.6
011216911000,2015,382.8
011216911000,2016,401.5
011216911000,2017,417.3
011216911000,2018,435.7
011216911000,2019,454.8
011216911000,2020,474.4
011216915000,2009,376.0
011216915000,2010,391.9
011216915000,2011,416.4
011216915000,2012,432.1
011216915000,2013,446.2
011216915000,2014,462.3
011216915000,2015,480.7
011216915000,2016,503.4
011216915000,2017,520.0
011216915000,2018,543.1
011216915000,2019,566.1
011216915000,2020,586.6
011216917000,2009,341.6
011216917000,2010,345.8
011216917000,2011,357.6
011216917000,2012,365.0
011216917000,2013,374.1
011216917000,2014,387.5
011216917000,2015,396.6
011216917000,2016,415.9
011216917000,2017,462.6
011216917000,2018,479.4
011216917000,2019,501.4
011216917000,2020,517.2
012414402000,2009,457.8
012414402000,2010,478.6
012414402000,2011,503.9
012414402000,2012,515.1
012414402000,2013,528.7
012414402000,2014,540.6
012414402000,2015,556.5
012414402000,2016,577.1
012414402000,2017,591.0
012414402000,2018,607.5
012414402000,2019,625.9
012414402000,2020,639.8
012414403000,2009,461.1
012414403000,2010,475.1
012414403000,2011,498.1
012414403000,2012,509.4
012414403000,2013,521.2
012414403000,2014,532.9
012414403000,2015,547.6
012414403000,2016,568.9
012414403000,2017,583.5
012414403000,2018,603.7
012414403000,2019,625.8
012414403000,2020,644.7
012414417000,2009,387.9
012414417000,2010,402.7
012414417000,2011,428.9
012414417000,2012,441.0
012414417000,2013,454.6
012414417000,2014,466.0
012414417000,2015,480.7
012414417000,2016,502.0
012414417000,2017,521.8
012414417000,2018,537.1
012414417000,2019,561.3
012414417000,2020,579.5
012414461000,2009,438.4
012414461000,2010,454.9
012414461000,2011,477.4
012414461000,2012,490.5
012414461000,2013,509.6
012414461000,2014,526.5
012414461000,2015,555.1
012414461000,2016,589.7
012414461000,2017,619.3
012414461000,2018,650.9
012414461000,2019,681.3
012414461000,2020,705.3
012414507000,2009,478.1
012414507000,2010,492.8
012414507000,2011,514.9
012414507000,2012,525.6
012414507000,2013,538.4
012414507000,2014,553.3
012414507000,2015,567.1
012414507000,2016,584.9
012414507000,2017,597.2
012414507000,2018,613.1
012414507000,2019,633.4
012414507000,2020,651.6
012414513000,2009,382.4
012414513000,2010,401.7
012414513000,2011,425.1
012414513000,2012,437.2
012414513000,2013,453.3
012414513000,2014,467.2
012414513000,2015,485.1
012414513000,2016,506.4
012414513000,2017,526.7
012414513000,2018,547.3
012414513000,2019,567.1
012414513000,2020,581.8
012414562000,2009,340.2
012414562000,2010,367.3
012414562000,2011,383.3
012414562000,2012,394.9
012414562000,2013,408.0
012414562000,2014,417.9
012414562000,2015,430.8
012414562000,2016,445.8
012414562000,2017,460.7
012414562000,2018,476.5
012414562000,2019,493.8
012414562000,2020,510.5
012414571000,2009,375.1
012414571000,2010,396.5
012414571000,2011,416.9
012414571000,2012,428.4
012414571000,2013,441.0
012414571000,2014,454.2
012414571000,2015,465.4
012414571000,2016,479.4
012414571000,2017,491.5
012414571000,2018,503.9
012414571000,2019,522.3
012414571000,2020,538.0
012414604000,2009,475.1
012414604000,2010,492.6
012414604000,2011,518.7
012414604000,2012,536.3
012414604000,2013,550.8
012414604000,2014,564.2
012414604000,2015,582.8
012414604000,2016,606.2
012414604000,2017,626.9
012414604000,2018,647.5
012414604000,2019,673.7
012414604000,2020,691.0
012414606000,2009,540.9
012414606000,2010,564.6
012414606000,2011,594.3
012414606000,2012,610.3
012414606000,2013,627.2
012414606000,2014,644.1
012414606000,2015,661.2
012414606000,2016,681.6
012414606000,2017,698.4
012414606000,2018,716.2
012414606000,2019,743.2
012414606000,2020,764.0
012414609000,2009,551.0
012414609000,2010,569.9
012414609000,2011,601.3
012414609000,2012,619.3
012414609000,2013,636.4
012414609000,2014,641.1
012414609000,2015,658.6
012414609000,2016,677.4
012414609000,2017,696.9
012414609000,2018,717.5
012414609000,2019,744.5
012414609000,2020,769.2
012414664000,2009,403.6
012414664000,2010,419.9
012414664000,2011,442.3
012414664000,2012,452.7
012414664000,2013,466.6
012414664000,2014,478.9
012414664000,2015,496.3
012414664000,2016,519.3
012414664000,2017,540.0
012414664000,2018,563.5
012414664000,2019,586.9
012414664000,2020,613.0
012414705000,2009,425.3
012414705000,2010,445.2
012414705000,2011,471.1
012414705000,2012,491.2
012414705000,2013,509.6
012414705000,2014,527.7
012414705000,2015,540.3
012414705000,2016,559.2
012414705000,2017,574.2
012414705000,2018,593.1
012414705000,2019,611.3
012414705000,2020,625.0
012414766000,2009,448.3
012414766000,2010,487.2
012414766000,2011,515.5
012414766000,2012,535.5
012414766000,2013,562.2
012414766000,2014,584.6
012414766000,2015,604.4
012414766000,2016,631.9
012414766000,2017,604.0
012414766000,2018,667.7
012414766000,2019,691.6
012414766000,2020,715.2
012414778000,2009,350.1
012414778000,2010,378.5
012414778000,2011,400.2
012414778000,2012,413.1
012414778000,2013,426.5
012414778000,2014,437.3
012414778000,2015,449.4
012414778000,2016,464.2
012414778000,2017,481.5
012414778000,2018,497.2
012414778000,2019,516.0
012414778000,2020,532.8
012414863000,2009,321.1
012414863000,2010,339.9
012414863000,2011,360.4
012414863000,2012,373.8
012414863000,2013,388.7
012414863000,2014,399.2
012414863000,2015,412.0
012414863000,2016,427.6
012414863000,2017,437.1
012414863000,2018,449.2
012414863000,2019,464.7
012414863000,2020,479.6
012414869000,2009,482.3
012414869000,2010,491.1
012414869000,2011,516.3
012414869000,2012,539.7
012414869000,2013,571.1
012414869000,2014,599.3
012414869000,2015,631.6
012414869000,2016,668.0
012414869000,2017,704.2
012414869000,2018,734.6
012414869000,2019,761.7
012414869000,2020,778.1
012414870000,2009,386.3
012414870000,2010,412.2
012414870000,2011,445.0
012414870000,2012,466.4
012414870000,2013,486.9
012414870000,2014,499.1
012414870000,2015,510.9
012414870000,2016,530.3
012414870000,2017,549.2
012414870000,2018,574.6
012414870000,2019,593.8
012414870000,2020,601.0
012414872000,2009,363.6
012414872000,2010,383.6
012414872000,2011,402.5
012414872000,2012,417.6
012414872000,2013,432.8
012414872000,2014,444.3
012414872000,2015,457.5
012414872000,2016,473.6
012414872000,2017,487.3
012414872000,2018,503.9
012414872000,2019,521.0
012414872000,2020,532.9
012414874000,2009,365.2
012414874000,2010,385.1
012414874000,2011,407.6
012414874000,2012,419.9
012414874000,2013,434.5
012414874000,2014,446.2
012414874000,2015,462.4
012414874000,2016,475.7
012414874000,2017,487.8
012414874000,2018,501.3
012414874000,2019,517.1
012414874000,2020,534.0
012414876000,2009,319.1
012414876000,2010,339.1
012414876000,2011,358.8
012414876000,2012,372.3
012414876000,2013,390.2
012414876000,2014,410.1
012414876000,2015,424.7
012414876000,2016,446.0
012414876000,2017,450.9
012414876000,2018,472.9
012414876000,2019,494.1
012414876000,2020,511.7
012414911000,2009,379.6
012414911000,2010,398.9
012414911000,2011,424.7
012414911000,2012,436.0
012414911000,2013,447.6
012414911000,2014,458.1
012414911000,2015,470.1
012414911000,2016,487.6
012414911000,2017,499.8
012414911000,2018,516.9
012414911000,2019,532.5
012414911000,2020,546.5
012414912000,2009,460.6
012414912000,2010,479.1
012414912000,2011,507.4
012414912000,2012,525.4
012414912000,2013,536.8
012414912000,2014,548.3
012414912000,2015,560.8
012414912000,2016,575.9
012414912000,2017,587.7
012414912000,2018,605.9
012414912000,2019,625.3
012414912000,2020,633.8
012414915000,2009,450.3
012414915000,2010,464.9
012414915000,2011,486.2
012414915000,2012,497.5
012414915000,2013,511.5
012414915000,2014,520.4
012414915000,2015,533.0
012414915000,2016,548.4
012414915000,2017,559.6
012414915000,2018,575.9
012414915000,2019,595.0
012414915000,2020,613.6
012414967000,2009,414.1
012414967000,2010,432.5
012414967000,2011,453.8
