ID_powiatu,year,p2497-przeciętne-miesięczne-wynagrodzenia-brutto-w-relacji-do-średniej-krajowej-polska100
011212001000,2002,84.0
011212001000,2003,83.5
011212001000,2004,82.5
011212001000,2005,80.4
011212001000,2006,82.4
011212001000,2007,84.5
011212001000,2008,83.3
011212001000,2009,85.4
011212001000,2010,85.5
011212001000,2011,86.3
011212001000,2012,85.7
011212001000,2013,83.3
011212001000,2014,83.9
011212001000,2015,83.5
011212001000,2016,84.1
011212001000,2017,83.6
011212001000,2018,82.8
011212001000,2019,82.8
011212001000,2020,81.9
011212006000,2002,90.7
011212006000,2003,90.7
011212006000,2004,90.0
011212006000,2005,90.8
011212006000,2006,90.9
011212006000,2007,92.6
011212006000,2008,90.8
011212006000,2009,90.9
011212006000,2010,93.0
011212006000,2011,93.2
011212006000,2012,95.4
011212006000,2013,96.9
011212006000,2014,96.3
011212006000,2015,101.3
011212006000,2016,105.1
011212006000,2017,107.3
011212006000,2018,108.6
011212006000,2019,106.4
011212006000,2020,104.8
011212008000,2002,78.1
011212008000,2003,78.2
011212008000,2004,78.0
011212008000,2005,78.5
011212008000,2006,78.5
011212008000,2007,78.4
011212008000,2008,77.6
011212008000,2009,79.3
011212008000,2010,81.0
011212008000,2011,78.2
011212008000,2012,78.1
011212008000,2013,76.9
011212008000,2014,77.3
011212008000,2015,76.8
011212008000,2016,75.7
011212008000,2017,75.9
011212008000,2018,76.5
011212008000,2019,77.7
011212008000,2020,79.9
011212009000,2002,95.5
011212009000,2003,90.7
011212009000,2004,89.1
011212009000,2005,85.6
011212009000,2006,78.2
011212009000,2007,79.4
011212009000,2008,79.2
011212009000,2009,78.6
011212009000,2010,80.1
011212009000,2011,76.8
011212009000,2012,74.8
011212009000,2013,75.2
011212009000,2014,75.0
011212009000,2015,74.5
011212009000,2016,81.1
011212009000,2017,82.7
011212009000,2018,83.1
011212009000,2019,82.7
011212009000,2020,81.9
011212014000,2002,77.8
011212014000,2003,78.6
011212014000,2004,76.4
011212014000,2005,80.2
011212014000,2006,78.0
011212014000,2007,78.9
011212014000,2008,80.2
011212014000,2009,81.9
011212014000,2010,80.9
011212014000,2011,79.9
011212014000,2012,77.9
011212014000,2013,77.9
011212014000,2014,79.4
011212014000,2015,79.8
011212014000,2016,79.4
011212014000,2017,81.2
011212014000,2018,80.4
011212014000,2019,82.2
011212014000,2020,83.9
011212019000,2002,92.5
011212019000,2003,91.5
011212019000,2004,87.4
011212019000,2005,86.1
011212019000,2006,86.4
011212019000,2007,84.2
011212019000,2008,84.5
011212019000,2009,85.2
011212019000,2010,87.0
011212019000,2011,88.4
011212019000,2012,89.0
011212019000,2013,89.7
011212019000,2014,91.4
011212019000,2015,91.8
011212019000,2016,91.9
011212019000,2017,92.0
011212019000,2018,92.5
011212019000,2019,92.0
011212019000,2020,91.4
011212161000,2002,102.7
011212161000,2003,100.4
011212161000,2004,102.2
011212161000,2005,102.9
011212161000,2006,104.4
011212161000,2007,104.5
011212161000,2008,103.2
011212161000,2009,103.3
011212161000,2010,103.2
011212161000,2011,102.7
011212161000,2012,103.6
011212161000,2013,103.1
011212161000,2014,103.7
011212161000,2015,106.8
011212161000,2016,108.0
011212161000,2017,109.7
011212161000,2018,111.0
011212161000,2019,113.5
011212161000,2020,117.4
011212205000,2002,79.0
011212205000,2003,80.0
011212205000,2004,80.1
011212205000,2005,79.3
011212205000,2006,80.6
011212205000,2007,80.3
011212205000,2008,78.9
011212205000,2009,77.6
011212205000,2010,76.6
011212205000,2011,75.2
011212205000,2012,76.1
011212205000,2013,75.3
011212205000,2014,73.7
011212205000,2015,73.7
011212205000,2016,74.1
011212205000,2017,75.8
011212205000,2018,74.4
011212205000,2019,74.9
011212205000,2020,75.3
011212207000,2002,75.2
011212207000,2003,76.4
011212207000,2004,75.0
011212207000,2005,75.7
011212207000,2006,75.1
011212207000,2007,76.6
011212207000,2008,75.2
011212207000,2009,76.6
011212207000,2010,75.8
