ID_powiatu,year,p2596-zieleńce-obiekty
011212001000,2004,19
011212001000,2005,21
011212001000,2006,21
011212001000,2007,19
011212001000,2008,19
011212001000,2009,19
011212001000,2010,21
011212001000,2011,21
011212001000,2012,23
011212001000,2013,23
011212001000,2014,27
011212001000,2015,27
011212001000,2016,27
011212001000,2017,27
011212001000,2018,27
011212001000,2019,41
011212001000,2020,41
011212006000,2004,36
011212006000,2005,55
011212006000,2006,48
011212006000,2007,57
011212006000,2008,64
011212006000,2009,75
011212006000,2010,78
011212006000,2011,85
011212006000,2012,104
011212006000,2013,108
011212006000,2014,108
011212006000,2015,114
011212006000,2016,114
011212006000,2017,114
011212006000,2018,119
011212006000,2019,119
011212006000,2020,119
011212008000,2004,24
011212008000,2005,24
011212008000,2006,24
011212008000,2007,24
011212008000,2008,24
011212008000,2009,24
011212008000,2010,24
011212008000,2011,24
011212008000,2012,24
011212008000,2013,24
011212008000,2014,24
011212008000,2015,25
011212008000,2016,35
011212008000,2017,35
011212008000,2018,35
011212008000,2019,35
011212008000,2020,35
011212009000,2004,10
011212009000,2005,10
011212009000,2006,10
011212009000,2007,12
011212009000,2008,12
011212009000,2009,12
011212009000,2010,12
011212009000,2011,16
011212009000,2012,16
011212009000,2013,16
011212009000,2014,16
011212009000,2015,16
011212009000,2016,16
011212009000,2017,16
011212009000,2018,16
011212009000,2019,16
011212009000,2020,16
011212014000,2004,1
011212014000,2005,1
011212014000,2006,1
011212014000,2007,1
011212014000,2008,1
011212014000,2009,1
011212014000,2010,1
011212014000,2011,1
011212014000,2012,1
011212014000,2013,1
011212014000,2014,1
011212014000,2015,2
011212014000,2016,3
011212014000,2017,3
011212014000,2018,3
011212014000,2019,3
011212014000,2020,3
011212019000,2004,65
011212019000,2005,65
011212019000,2006,75
011212019000,2007,85
011212019000,2008,84
011212019000,2009,86
011212019000,2010,88
011212019000,2011,88
011212019000,2012,88
011212019000,2013,88
011212019000,2014,88
011212019000,2015,88
011212019000,2016,88
011212019000,2017,88
011212019000,2018,88
011212019000,2019,88
011212019000,2020,89
011212161000,2004,404
011212161000,2005,449
011212161000,2006,449
011212161000,2007,449
011212161000,2008,497
011212161000,2009,518
011212161000,2010,540
011212161000,2011,556
011212161000,2012,556
011212161000,2013,542
011212161000,2014,546
011212161000,2015,546
011212161000,2016,652
011212161000,2017,643
011212161000,2018,761
011212161000,2019,781
011212161000,2020,781
011212205000,2004,9
011212205000,2005,3
011212205000,2006,3
011212205000,2007,3
011212205000,2008,3
011212205000,2009,4
011212205000,2010,4
011212205000,2011,4
011212205000,2012,5
011212205000,2013,5
011212205000,2014,5
