ID_powiatu,year,p2617-krajowy-przyjazdy
011212001000,2007,0
011212001000,2008,0
011212001000,2009,0
011212001000,2010,0
011212001000,2011,0
011212001000,2012,0
011212001000,2013,0
011212001000,2014,0
011212001000,2015,0
011212001000,2016,0
011212001000,2017,0
011212001000,2018,0
011212001000,2019,0
011212001000,2020,0
011212006000,2007,0
011212006000,2008,0
011212006000,2009,0
011212006000,2010,0
011212006000,2011,0
011212006000,2012,0
011212006000,2013,0
011212006000,2014,0
011212006000,2015,0
011212006000,2016,0
011212006000,2017,0
011212006000,2018,0
011212006000,2019,0
011212006000,2020,0
011212008000,2007,0
011212008000,2008,0
011212008000,2009,0
011212008000,2010,0
011212008000,2011,0
011212008000,2012,0
011212008000,2013,0
011212008000,2014,0
011212008000,2015,0
011212008000,2016,0
011212008000,2017,0
011212008000,2018,0
011212008000,2019,0
011212008000,2020,0
011212009000,2007,0
011212009000,2008,0
011212009000,2009,0
011212009000,2010,0
011212009000,2011,0
011212009000,2012,0
011212009000,2013,0
011212009000,2014,0
011212009000,2015,0
011212009000,2016,0
011212009000,2017,0
011212009000,2018,0
011212009000,2019,0
011212009000,2020,0
011212014000,2007,0
011212014000,2008,0
011212014000,2009,0
011212014000,2010,0
011212014000,2011,0
011212014000,2012,0
011212014000,2013,0
011212014000,2014,0
011212014000,2015,0
011212014000,2016,0
011212014000,2017,0
011212014000,2018,0
011212014000,2019,0
011212014000,2020,0
011212019000,2007,0
011212019000,2008,0
011212019000,2009,0
011212019000,2010,0
011212019000,2011,0
011212019000,2012,0
011212019000,2013,0
011212019000,2014,0
011212019000,2015,0
011212019000,2016,0
011212019000,2017,0
011212019000,2018,0
011212019000,2019,0
011212019000,2020,0
011212161000,2007,0
011212161000,2008,0
011212161000,2009,0
011212161000,2010,0
011212161000,2011,0
011212161000,2012,0
011212161000,2013,0
011212161000,2014,0
011212161000,2015,0
011212161000,2016,0
011212161000,2017,0
011212161000,2018,0
011212161000,2019,0
011212161000,2020,0
011212205000,2007,0
011212205000,2008,0
011212205000,2009,0
011212205000,2010,0
011212205000,2011,0
011212205000,2012,0
011212205000,2013,0
011212205000,2014,0
011212205000,2015,0
011212205000,2016,0
011212205000,2017,0
011212205000,2018,0
011212205000,2019,0
011212205000,2020,0
011212207000,2007,0
011212207000,2008,0
011212207000,2009,0
011212207000,2010,0
011212207000,2011,0
011212207000,2012,0
011212207000,2013,0
011212207000,2014,0
011212207000,2015,0
011212207000,2016,0
011212207000,2017,0
011212207000,2018,0
011212207000,2019,0
