ID_powiatu,year,p2759-turyści-zagraniczni-nierezydenci-ogółem
011212001000,2005,4439
011212001000,2006,4500
011212001000,2007,4195
011212001000,2008,3006
011212001000,2009,2471
011212001000,2010,3197
011212001000,2011,3363
011212001000,2012,3275
011212001000,2013,4630
011212001000,2014,3054
011212001000,2015,2792
011212001000,2016,3337
011212001000,2017,2814
011212001000,2018,3701
011212001000,2019,6125
011212001000,2020,1525
011212006000,2005,14949
011212006000,2006,15983
011212006000,2007,22374
011212006000,2008,17708
011212006000,2009,11794
011212006000,2010,9670
011212006000,2011,12079
011212006000,2012,16761
011212006000,2013,13908
011212006000,2014,18116
011212006000,2015,35842
011212006000,2016,50605
011212006000,2017,48556
011212006000,2018,44219
011212006000,2019,45352
011212006000,2020,10266
011212008000,2005,688
011212008000,2006,769
011212008000,2007,439
011212008000,2008,416
011212008000,2009,542
011212008000,2010,631
011212008000,2011,779
011212008000,2012,705
011212008000,2013,696
011212008000,2014,696
011212008000,2015,584
011212008000,2016,7971
011212008000,2017,7242
011212008000,2018,7420
011212008000,2019,7783
011212008000,2020,1797
011212009000,2005,896
011212009000,2006,1290
011212009000,2007,1515
011212009000,2008,950
011212009000,2009,1076
011212009000,2010,1241
011212009000,2011,806
011212009000,2012,1137
011212009000,2013,1553
011212009000,2014,2997
011212009000,2015,1913
011212009000,2016,3316
011212009000,2017,3960
011212009000,2018,2853
011212009000,2019,2604
011212009000,2020,792
011212014000,2005,2723
011212014000,2006,2573
011212014000,2007,261
011212014000,2008,919
011212014000,2009,249
011212014000,2010,90
011212014000,2011,140
011212014000,2012,218
011212014000,2013,178
011212014000,2014,202
011212014000,2015,240
011212014000,2016,977
011212014000,2017,396
011212014000,2018,551
011212014000,2019,1162
011212014000,2020,227
011212019000,2005,3824
011212019000,2006,7523
011212019000,2007,10043
011212019000,2008,9121
011212019000,2009,11156
011212019000,2010,10174
011212019000,2011,12140
011212019000,2012,14197
011212019000,2013,13214
011212019000,2014,18264
011212019000,2015,17902
011212019000,2016,18687
011212019000,2017,23539
011212019000,2018,26576
011212019000,2019,27771
011212019000,2020,4003
011212161000,2005,731771
011212161000,2006,770793
011212161000,2007,819978
011212161000,2008,684056
011212161000,2009,688871
011212161000,2010,770243
011212161000,2011,805664
011212161000,2012,916445
011212161000,2013,1017084
011212161000,2014,1019337
011212161000,2015,1033770
011212161000,2016,1119637
011212161000,2017,1187992
011212161000,2018,1207177
011212161000,2019,1340113
011212161000,2020,259479
011212205000,2005,2002
011212205000,2006,767
011212205000,2007,793
011212205000,2008,1124
011212205000,2009,1053
011212205000,2010,843
011212205000,2011,396
011212205000,2012,735
011212205000,2013,743
011212205000,2014,605
011212205000,2015,841
011212205000,2016,4346
011212205000,2017,4220
011212205000,2018,4154
011212205000,2019,4548
011212205000,2020,1017
011212207000,2005,681
011212207000,2006,879
011212207000,2007,933
011212207000,2008,617
011212207000,2009,765
011212207000,2010,624
011212207000,2011,711
011212207000,2012,1115
011212207000,2013,1121
011212207000,2014,792
011212207000,2015,762
011212207000,2016,1977
011212207000,2017,1981
011212207000,2018,2239
011212207000,2019,2418
011212207000,2020,684
011212210000,2005,6785
011212210000,2006,8029
011212210000,2007,6683
011212210000,2008,5589
011212210000,2009,4839
011212210000,2010,6654
011212210000,2011,7211
011212210000,2012,8668
011212210000,2013,9439
011212210000,2014,7577
011212210000,2015,10446
011212210000,2016,16441
011212210000,2017,20521
011212210000,2018,19715
011212210000,2019,16448
011212210000,2020,6282
011212262000,2005,3411
011212262000,2006,3624
011212262000,2007,3393
011212262000,2008,3181
011212262000,2009,2650
011212262000,2010,1823
011212262000,2011,1566
011212262000,2012,2495
011212262000,2013,3912
011212262000,2014,3085
011212262000,2015,3581
011212262000,2016,3817
011212262000,2017,5377
011212262000,2018,6612
011212262000,2019,6132
011212262000,2020,2022
011212303000,2005,633
011212303000,2006,583
011212303000,2007,569
011212303000,2008,531
011212303000,2009,444
011212303000,2010,495
011212303000,2011,718
011212303000,2012,413
011212303000,2013,281
011212303000,2014,358
011212303000,2015,243
011212303000,2016,284
011212303000,2017,284
011212303000,2018,292
011212303000,2019,362
011212303000,2020,103
011212312000,2005,1452
011212312000,2006,1127
011212312000,2007,1060
011212312000,2008,1223
011212312000,2009,907
011212312000,2010,1416
011212312000,2011,1480
011212312000,2012,1469
011212312000,2013,1168
011212312000,2014,1052
011212312000,2015,832
011212312000,2016,794
011212312000,2017,1179
011212312000,2018,1493
011212312000,2019,885
011212312000,2020,510
011212313000,2005,15879
011212313000,2006,14515
011212313000,2007,14117
011212313000,2008,16979
011212313000,2009,15320
011212313000,2010,14999
011212313000,2011,18326
011212313000,2012,19121
011212313000,2013,18454
011212313000,2014,19382
011212313000,2015,20446
011212313000,2016,23976
011212313000,2017,24062
011212313000,2018,28273
011212313000,2019,27024
011212313000,2020,8038
011212318000,2005,5878
011212318000,2006,5173
011212318000,2007,6393
011212318000,2008,4807
011212318000,2009,4338
011212318000,2010,4397
011212318000,2011,5828
011212318000,2012,6924
011212318000,2013,6255
011212318000,2014,5433
011212318000,2015,5736
011212318000,2016,9844
011212318000,2017,4415
011212318000,2018,4531
011212318000,2019,5111
011212318000,2020,1308
011212402000,2005,1072
011212402000,2006,1627
011212402000,2007,1209
011212402000,2008,1284
011212402000,2009,1456
011212402000,2010,1835
011212402000,2011,1543
011212402000,2012,1973
011212402000,2013,3160
011212402000,2014,1838
011212402000,2015,1441
011212402000,2016,2481
011212402000,2017,2244
011212402000,2018,1786
011212402000,2019,1546
011212402000,2020,554
011212404000,2005,8
011212404000,2006,29
011212404000,2007,19
011212404000,2008,47
011212404000,2009,55
011212404000,2010,0
011212404000,2011,0
011212404000,2012,19
011212404000,2013,128
011212404000,2014,279
011212404000,2015,95
011212404000,2016,146
011212404000,2017,104
011212404000,2018,41
011212404000,2019,204
011212404000,2020,28
011212416000,2005,1003
011212416000,2006,1339
011212416000,2007,1505
011212416000,2008,1129
011212416000,2009,1407
011212416000,2010,1119
011212416000,2011,1510
011212416000,2012,1639
011212416000,2013,3193
011212416000,2014,2886
011212416000,2015,1784
011212416000,2016,3426
011212416000,2017,5714
011212416000,2018,6136
011212416000,2019,5699
011212416000,2020,1655
011212463000,2005,7561
011212463000,2006,8105
011212463000,2007,9619
011212463000,2008,7979
011212463000,2009,6487
011212463000,2010,7250
011212463000,2011,6086
011212463000,2012,5859
011212463000,2013,5755
011212463000,2014,8146
011212463000,2015,7591
011212463000,2016,9725
011212463000,2017,8370
011212463000,2018,8436
011212463000,2019,7583
011212463000,2020,2426
011216911000,2005,5044
011216911000,2006,5965
011216911000,2007,5409
011216911000,2008,5512
011216911000,2009,5456
011216911000,2010,6238
011216911000,2011,6276
011216911000,2012,7223
011216911000,2013,7063
011216911000,2014,6470
011216911000,2015,5636
011216911000,2016,10936
011216911000,2017,9828
011216911000,2018,13605
011216911000,2019,16799
011216911000,2020,5537
011216915000,2005,1852
011216915000,2006,1444
011216915000,2007,1546
011216915000,2008,1307
011216915000,2009,1254
011216915000,2010,997
011216915000,2011,1201
011216915000,2012,1233
011216915000,2013,1280
011216915000,2014,1384
011216915000,2015,1585
011216915000,2016,2765
011216915000,2017,1353
011216915000,2018,1254
011216915000,2019,1309
011216915000,2020,301
011216917000,2005,76928
011216917000,2006,78382
011216917000,2007,67376
011216917000,2008,61471
011216917000,2009,47906
011216917000,2010,52180
011216917000,2011,55492
011216917000,2012,60169
011216917000,2013,67682
011216917000,2014,69210
011216917000,2015,64031
011216917000,2016,81395
011216917000,2017,95872
011216917000,2018,113254
011216917000,2019,157248
011216917000,2020,58498
012414402000,2005,7396
012414402000,2006,8127
012414402000,2007,5108
012414402000,2008,4929
012414402000,2009,4513
012414402000,2010,3977
012414402000,2011,4948
012414402000,2012,6680
012414402000,2013,5417
012414402000,2014,6107
012414402000,2015,5720
012414402000,2016,9541
012414402000,2017,8552
012414402000,2018,7666
012414402000,2019,8479
012414402000,2020,3364
012414403000,2005,38197
012414403000,2006,44282
012414403000,2007,39082
012414403000,2008,36087
012414403000,2009,31720
012414403000,2010,34639
012414403000,2011,38194
012414403000,2012,49724
012414403000,2013,48988
012414403000,2014,40237
012414403000,2015,27217
012414403000,2016,31160
012414403000,2017,29735
012414403000,2018,33852
012414403000,2019,35689
012414403000,2020,10778
012414417000,2005,1004
012414417000,2006,1133
012414417000,2007,1126
012414417000,2008,792
012414417000,2009,1166
012414417000,2010,989
012414417000,2011,931
012414417000,2012,772
012414417000,2013,990
012414417000,2014,776
012414417000,2015,1466
012414417000,2016,3062
012414417000,2017,3463
012414417000,2018,2645
012414417000,2019,3990
012414417000,2020,1421
012414461000,2005,18273
012414461000,2006,19771
012414461000,2007,22450
012414461000,2008,19570
012414461000,2009,15890
012414461000,2010,17434
012414461000,2011,17003
012414461000,2012,17983
012414461000,2013,30385
012414461000,2014,37603
012414461000,2015,27419
012414461000,2016,23135
012414461000,2017,24275
012414461000,2018,23467
012414461000,2019,23537
012414461000,2020,7589
012414507000,2005,1061
012414507000,2006,1076
012414507000,2007,995
012414507000,2008,940
012414507000,2009,1097
012414507000,2010,1113
012414507000,2011,1216
012414507000,2012,1505
012414507000,2013,2116
012414507000,2014,2221
012414507000,2015,2250
012414507000,2016,2769
012414507000,2017,2939
012414507000,2018,2711
012414507000,2019,2383
012414507000,2020,696
012414513000,2005,2061
012414513000,2006,1751
012414513000,2007,1539
012414513000,2008,1374
012414513000,2009,3616
012414513000,2010,6278
012414513000,2011,7059
012414513000,2012,7519
012414513000,2013,8183
012414513000,2014,10334
012414513000,2015,9455
012414513000,2016,11098
012414513000,2017,13017
012414513000,2018,12625
012414513000,2019,19406
012414513000,2020,8073
012414562000,2005,1656
012414562000,2006,1634
012414562000,2007,1789
012414562000,2008,3127
012414562000,2009,3415
012414562000,2010,2658
012414562000,2011,1207
012414562000,2012,1126
012414562000,2013,1124
012414562000,2014,2750
012414562000,2015,2836
012414562000,2016,1351
012414562000,2017,2448
012414562000,2018,2835
012414562000,2019,3038
012414562000,2020,1445
012414571000,2005,439
012414571000,2006,390
012414571000,2007,538
012414571000,2008,417
012414571000,2009,369
012414571000,2010,753
012414571000,2011,821
012414571000,2012,1542
012414571000,2013,2600
012414571000,2014,3324
012414571000,2015,3511
012414571000,2016,4768
012414571000,2017,5102
012414571000,2018,3275
012414571000,2019,5337
012414571000,2020,2329
012414604000,2005,3883
012414604000,2006,2220
012414604000,2007,5379
012414604000,2008,4728
012414604000,2009,2388
012414604000,2010,2238
012414604000,2011,3276
012414604000,2012,2204
012414604000,2013,363
012414604000,2014,377
012414604000,2015,414
012414604000,2016,492
012414604000,2017,358
012414604000,2018,564
012414604000,2019,537
012414604000,2020,93
012414606000,2005,19
012414606000,2006,114
012414606000,2007,0
012414606000,2008,26
012414606000,2009,2
012414606000,2010,1
012414606000,2011,7
012414606000,2012,3
012414606000,2013,27
012414606000,2014,12
012414606000,2015,0
012414606000,2016,0
012414606000,2017,270
012414606000,2018,536
012414606000,2019,684
012414606000,2020,180
012414609000,2005,308
012414609000,2006,252
012414609000,2007,299
012414609000,2008,108
012414609000,2009,86
012414609000,2010,877
012414609000,2011,2162
012414609000,2012,2035
012414609000,2013,2574
012414609000,2014,2896
012414609000,2015,2728
012414609000,2016,3309
012414609000,2017,3644
012414609000,2018,3566
012414609000,2019,3561
012414609000,2020,1421
012414664000,2005,51551
012414664000,2006,48814
012414664000,2007,45220
012414664000,2008,42422
012414664000,2009,37940
012414664000,2010,39902
012414664000,2011,41427
012414664000,2012,38649
012414664000,2013,35877
012414664000,2014,31934
012414664000,2015,35407
012414664000,2016,41906
012414664000,2017,34724
012414664000,2018,36895
012414664000,2019,36436
012414664000,2020,9364
012414705000,2005,2278
012414705000,2006,2866
012414705000,2007,2890
012414705000,2008,3101
012414705000,2009,3848
012414705000,2010,2981
012414705000,2011,3464
012414705000,2012,3439
012414705000,2013,3333
012414705000,2014,2231
012414705000,2015,3856
012414705000,2016,4389
012414705000,2017,4089
012414705000,2018,4482
012414705000,2019,4153
012414705000,2020,1590
012414766000,2005,18041
012414766000,2006,17492
012414766000,2007,19033
012414766000,2008,18171
012414766000,2009,14304
012414766000,2010,15478
012414766000,2011,18500
012414766000,2012,20532
012414766000,2013,21098
012414766000,2014,21110
012414766000,2015,24808
012414766000,2016,24246
012414766000,2017,30487
012414766000,2018,36651
012414766000,2019,37292
012414766000,2020,13722
012414778000,2005,15829
012414778000,2006,16134
012414778000,2007,16664
012414778000,2008,15842
012414778000,2009,17030
012414778000,2010,17308
012414778000,2011,15680
012414778000,2012,11705
012414778000,2013,14406
012414778000,2014,14422
012414778000,2015,15560
012414778000,2016,17919
012414778000,2017,18272
012414778000,2018,18669
012414778000,2019,14950
012414778000,2020,5119
012414863000,2005,2363
012414863000,2006,2180
012414863000,2007,2107
012414863000,2008,761
012414863000,2009,632
012414863000,2010,1416
