ID_powiatu,year,p2759-turyści-zagraniczni-nierezydenci-pozostałe-kraje
011212001000,2005,847
011212001000,2006,334
011212001000,2007,948
011212001000,2008,241
011212001000,2009,109
011212001000,2010,208
011212001000,2011,173
011212001000,2012,140
011212001000,2013,258
011212001000,2014,70
011212001000,2015,325
011212001000,2016,312
011212001000,2017,330
011212001000,2018,406
011212001000,2019,815
011212001000,2020,31
011212006000,2005,1363
011212006000,2006,1599
011212006000,2007,2016
011212006000,2008,2881
011212006000,2009,1022
011212006000,2010,460
011212006000,2011,2018
011212006000,2012,3105
011212006000,2013,1589
011212006000,2014,4024
011212006000,2015,7575
011212006000,2016,7782
011212006000,2017,9006
011212006000,2018,9119
011212006000,2019,10924
011212006000,2020,1143
011212008000,2005,11
011212008000,2006,19
011212008000,2007,0
011212008000,2008,0
011212008000,2009,3
011212008000,2010,0
011212008000,2011,30
011212008000,2012,21
011212008000,2013,20
011212008000,2014,13
011212008000,2015,34
011212008000,2016,463
011212008000,2017,706
011212008000,2018,768
011212008000,2019,651
011212008000,2020,41
011212009000,2005,30
011212009000,2006,29
011212009000,2007,152
011212009000,2008,41
011212009000,2009,26
011212009000,2010,48
011212009000,2011,65
011212009000,2012,67
011212009000,2013,31
011212009000,2014,124
011212009000,2015,102
011212009000,2016,316
011212009000,2017,371
011212009000,2018,466
011212009000,2019,324
011212009000,2020,174
011212014000,2005,1234
011212014000,2006,1205
011212014000,2007,4
011212014000,2008,199
011212014000,2009,11
011212014000,2010,13
011212014000,2011,8
011212014000,2012,11
011212014000,2013,24
011212014000,2014,22
011212014000,2015,16
011212014000,2016,63
011212014000,2017,31
011212014000,2018,61
011212014000,2019,159
011212014000,2020,12
011212019000,2005,144
011212019000,2006,311
011212019000,2007,550
011212019000,2008,615
011212019000,2009,1024
011212019000,2010,1180
011212019000,2011,1652
011212019000,2012,977
011212019000,2013,3170
011212019000,2014,4797
011212019000,2015,2939
011212019000,2016,2560
011212019000,2017,2705
011212019000,2018,1978
011212019000,2019,2385
011212019000,2020,237
011212161000,2005,98189
011212161000,2006,96909
011212161000,2007,96623
011212161000,2008,83429
011212161000,2009,98218
011212161000,2010,107429
011212161000,2011,124228
011212161000,2012,138380
011212161000,2013,158266
011212161000,2014,165985
011212161000,2015,165424
011212161000,2016,181961
011212161000,2017,196818
011212161000,2018,217699
011212161000,2019,225600
011212161000,2020,24703
011212205000,2005,125
011212205000,2006,82
011212205000,2007,117
011212205000,2008,74
011212205000,2009,46
011212205000,2010,68
011212205000,2011,8
011212205000,2012,33
011212205000,2013,43
011212205000,2014,64
011212205000,2015,41
011212205000,2016,289
011212205000,2017,391
011212205000,2018,442
011212205000,2019,431
011212205000,2020,43
011212207000,2005,136
011212207000,2006,78
011212207000,2007,95
011212207000,2008,27
011212207000,2009,147
011212207000,2010,90
011212207000,2011,153
011212207000,2012,135
011212207000,2013,135
011212207000,2014,109
011212207000,2015,53
011212207000,2016,352
011212207000,2017,187
011212207000,2018,289
011212207000,2019,254
011212207000,2020,29
011212210000,2005,603
011212210000,2006,737
011212210000,2007,443
011212210000,2008,450
011212210000,2009,429
011212210000,2010,1095
011212210000,2011,602
011212210000,2012,767
011212210000,2013,900
011212210000,2014,728
011212210000,2015,864
011212210000,2016,1152
011212210000,2017,1441
011212210000,2018,1745
011212210000,2019,1460
011212210000,2020,422
011212262000,2005,279
011212262000,2006,381
011212262000,2007,306
011212262000,2008,261
011212262000,2009,339
011212262000,2010,130
011212262000,2011,168
011212262000,2012,334
011212262000,2013,462
011212262000,2014,354
011212262000,2015,495
011212262000,2016,436
011212262000,2017,699
011212262000,2018,1033
011212262000,2019,893
011212262000,2020,272
011212303000,2005,22
011212303000,2006,38
011212303000,2007,19
011212303000,2008,25
011212303000,2009,10
011212303000,2010,13
011212303000,2011,38
011212303000,2012,23
011212303000,2013,24
011212303000,2014,43
011212303000,2015,16
011212303000,2016,12
011212303000,2017,13
011212303000,2018,24
011212303000,2019,21
011212303000,2020,2
011212312000,2005,70
011212312000,2006,49
011212312000,2007,76
011212312000,2008,123
011212312000,2009,38
011212312000,2010,135
011212312000,2011,224
011212312000,2012,155
011212312000,2013,106
011212312000,2014,115
011212312000,2015,88
011212312000,2016,26
011212312000,2017,60
011212312000,2018,73
011212312000,2019,44
011212312000,2020,18
011212313000,2005,349
011212313000,2006,370
011212313000,2007,339
011212313000,2008,1024
011212313000,2009,690
011212313000,2010,627
011212313000,2011,614
011212313000,2012,836
011212313000,2013,934
011212313000,2014,1323
011212313000,2015,1031
011212313000,2016,1024
011212313000,2017,1179
011212313000,2018,1832
011212313000,2019,1534
011212313000,2020,291
011212318000,2005,304
011212318000,2006,121
011212318000,2007,226
011212318000,2008,169
011212318000,2009,212
011212318000,2010,277
