ID_powiatu,year,p2813-handel-naprawa-pojazdów-samochodowych-transport-i-gospodarka-magazynowa-zakwaterowanie-i-gastronomia-informacja-i-komunikacja-ogółem
011212001000,2005,1873
011212001000,2006,1922
011212001000,2007,2079
011212001000,2008,2405
011212001000,2009,2812
011212001000,2010,2978
011212001000,2011,2825
011212001000,2012,2993
011212001000,2013,3176
011212001000,2014,3177
011212001000,2015,3142
011212001000,2016,3196
011212001000,2017,3523
011212001000,2018,3290
011212001000,2019,3489
011212001000,2020,3461
011212006000,2005,5274
011212006000,2006,6913
011212006000,2007,7549
011212006000,2008,9067
011212006000,2009,10287
011212006000,2010,10176
011212006000,2011,12599
011212006000,2012,13564
011212006000,2013,14712
011212006000,2014,16160
011212006000,2015,17958
011212006000,2016,17714
011212006000,2017,20651
011212006000,2018,18545
011212006000,2019,19371
011212006000,2020,21023
011212008000,2005,1029
011212008000,2006,1112
011212008000,2007,1091
011212008000,2008,1159
011212008000,2009,1100
011212008000,2010,1226
011212008000,2011,1308
011212008000,2012,1606
011212008000,2013,1746
011212008000,2014,1845
011212008000,2015,1841
011212008000,2016,2014
011212008000,2017,2103
011212008000,2018,2069
011212008000,2019,2277
011212008000,2020,2321
011212009000,2005,2536
011212009000,2006,2747
011212009000,2007,2927
011212009000,2008,3158
011212009000,2009,3082
011212009000,2010,3360
011212009000,2011,3345
011212009000,2012,3579
011212009000,2013,3696
011212009000,2014,3908
011212009000,2015,3995
011212009000,2016,4251
011212009000,2017,4497
011212009000,2018,4671
011212009000,2019,4689
011212009000,2020,4487
011212014000,2005,774
011212014000,2006,600
011212014000,2007,605
011212014000,2008,990
011212014000,2009,1022
011212014000,2010,1085
011212014000,2011,996
011212014000,2012,1030
011212014000,2013,1126
011212014000,2014,1154
011212014000,2015,1415
011212014000,2016,1677
011212014000,2017,1752
011212014000,2018,1609
011212014000,2019,1419
011212014000,2020,1486
011212019000,2005,2339
011212019000,2006,2384
011212019000,2007,2663
011212019000,2008,3663
011212019000,2009,3639
011212019000,2010,3328
011212019000,2011,3671
011212019000,2012,3834
011212019000,2013,4238
011212019000,2014,4687
011212019000,2015,4461
011212019000,2016,4936
011212019000,2017,5982
011212019000,2018,6316
011212019000,2019,6972
011212019000,2020,8021
011212161000,2005,66387
011212161000,2006,70175
011212161000,2007,75294
011212161000,2008,77864
011212161000,2009,79404
011212161000,2010,79126
011212161000,2011,81942
011212161000,2012,82096
011212161000,2013,86407
011212161000,2014,88651
011212161000,2015,92463
011212161000,2016,97454
011212161000,2017,101640
011212161000,2018,109949
011212161000,2019,114590
011212161000,2020,112380
011212205000,2005,2507
011212205000,2006,2584
011212205000,2007,2639
011212205000,2008,3198
011212205000,2009,2990
011212205000,2010,2661
011212205000,2011,2795
011212205000,2012,2750
011212205000,2013,2897
011212205000,2014,3056
011212205000,2015,3282
011212205000,2016,3269
011212205000,2017,3548
011212205000,2018,4779
011212205000,2019,5064
011212205000,2020,3323
011212207000,2005,2295
011212207000,2006,2310
011212207000,2007,2518
011212207000,2008,2866
011212207000,2009,2827
011212207000,2010,2897
011212207000,2011,2970
011212207000,2012,3020
011212207000,2013,3158
011212207000,2014,3320
011212207000,2015,3432
011212207000,2016,3576
011212207000,2017,3774
011212207000,2018,3927
011212207000,2019,4165
011212207000,2020,4354
011212210000,2005,3881
011212210000,2006,3994
011212210000,2007,4478
011212210000,2008,4672
011212210000,2009,4925
011212210000,2010,4841
011212210000,2011,4995
011212210000,2012,4995
011212210000,2013,5204
011212210000,2014,6286
011212210000,2015,5664
011212210000,2016,6319
011212210000,2017,6765
011212210000,2018,6600
011212210000,2019,7059
011212210000,2020,7415
011212262000,2005,8040
011212262000,2006,8112
011212262000,2007,8505
011212262000,2008,8997
011212262000,2009,9132
011212262000,2010,8916
011212262000,2011,9059
011212262000,2012,9202
011212262000,2013,9348
011212262000,2014,9301
011212262000,2015,9727
011212262000,2016,9978
011212262000,2017,10430
011212262000,2018,10532
011212262000,2019,10598
011212262000,2020,10347
011212303000,2005,2821
011212303000,2006,2975
011212303000,2007,2807
011212303000,2008,3418
011212303000,2009,3792
011212303000,2010,3969
011212303000,2011,3955
011212303000,2012,4028
011212303000,2013,4253
011212303000,2014,4440
011212303000,2015,4723
011212303000,2016,5024
011212303000,2017,4963
011212303000,2018,5297
011212303000,2019,5075
011212303000,2020,4999
011212312000,2005,3219
011212312000,2006,3397
011212312000,2007,3466
011212312000,2008,3842
011212312000,2009,4153
011212312000,2010,4298
011212312000,2011,4478
011212312000,2012,4620
011212312000,2013,4996
011212312000,2014,4935
011212312000,2015,4701
011212312000,2016,4908
011212312000,2017,5097
011212312000,2018,5322
011212312000,2019,4898
011212312000,2020,4964
011212313000,2005,4152
011212313000,2006,4024
011212313000,2007,4226
011212313000,2008,4799
011212313000,2009,4640
011212313000,2010,5207
011212313000,2011,5363
011212313000,2012,5446
011212313000,2013,5545
011212313000,2014,5634
011212313000,2015,5413
011212313000,2016,5748
011212313000,2017,6109
