ID_powiatu,year,p3350-stopień-wykorzystania-miejsc-noclegowych
011212001000,2010,22.0
011212001000,2011,22.8
011212001000,2012,19.6
011212001000,2013,21.7
011212001000,2014,22.1
011212001000,2015,22.8
011212001000,2016,22.1
011212001000,2017,24.2
011212001000,2018,27.1
011212001000,2019,28.3
011212001000,2020,22.8
011212006000,2010,22.9
011212006000,2011,24.6
011212006000,2012,24.6
011212006000,2013,23.9
011212006000,2014,24.1
011212006000,2015,29.4
011212006000,2016,34.0
011212006000,2017,33.6
011212006000,2018,34.5
011212006000,2019,35.7
011212006000,2020,18.1
011212008000,2010,0.0
011212008000,2011,0.0
011212008000,2012,0.0
011212008000,2013,0.0
011212008000,2014,0.0
011212008000,2015,22.8
011212008000,2016,35.2
011212008000,2017,38.5
011212008000,2018,40.1
011212008000,2019,41.7
011212008000,2020,23.4
011212009000,2010,14.6
011212009000,2011,12.9
011212009000,2012,15.2
011212009000,2013,16.9
011212009000,2014,17.6
011212009000,2015,16.9
011212009000,2016,20.7
011212009000,2017,20.9
011212009000,2018,20.7
011212009000,2019,21.0
011212009000,2020,13.5
011212014000,2010,10.1
011212014000,2011,16.0
011212014000,2012,20.9
011212014000,2013,19.9
011212014000,2014,16.7
011212014000,2015,12.6
011212014000,2016,17.2
011212014000,2017,17.4
011212014000,2018,20.3
011212014000,2019,21.2
011212014000,2020,9.9
011212019000,2010,23.7
011212019000,2011,28.0
011212019000,2012,28.6
011212019000,2013,25.1
011212019000,2014,27.7
011212019000,2015,30.9
011212019000,2016,33.5
011212019000,2017,34.0
011212019000,2018,36.0
011212019000,2019,39.7
011212019000,2020,19.1
011212161000,2010,39.9
011212161000,2011,41.1
011212161000,2012,43.3
011212161000,2013,47.2
011212161000,2014,47.8
011212161000,2015,50.8
011212161000,2016,51.2
011212161000,2017,52.1
011212161000,2018,52.6
011212161000,2019,53.9
011212161000,2020,21.0
011212205000,2010,45.1
011212205000,2011,49.7
011212205000,2012,46.6
011212205000,2013,48.5
011212205000,2014,52.2
011212205000,2015,46.4
011212205000,2016,43.1
011212205000,2017,45.0
011212205000,2018,45.5
011212205000,2019,46.9
011212205000,2020,28.1
011212207000,2010,19.6
011212207000,2011,19.9
011212207000,2012,18.0
011212207000,2013,17.7
011212207000,2014,16.6
011212207000,2015,19.2
011212207000,2016,21.5
011212207000,2017,23.7
011212207000,2018,24.6
011212207000,2019,26.9
011212207000,2020,19.5
011212210000,2010,39.7
011212210000,2011,39.6
011212210000,2012,41.2
011212210000,2013,39.9
011212210000,2014,41.1
011212210000,2015,43.1
011212210000,2016,45.8
011212210000,2017,46.1
011212210000,2018,48.3
011212210000,2019,49.6
011212210000,2020,36.7
011212262000,2010,23.9
011212262000,2011,29.5
011212262000,2012,26.2
011212262000,2013,28.3
011212262000,2014,25.2
011212262000,2015,34.6
011212262000,2016,30.0
011212262000,2017,33.5
011212262000,2018,32.7
011212262000,2019,31.9
011212262000,2020,19.2
011212303000,2010,12.9
011212303000,2011,19.3
011212303000,2012,8.3
011212303000,2013,7.9
011212303000,2014,8.8
011212303000,2015,11.9
011212303000,2016,11.1
011212303000,2017,12.3
011212303000,2018,13.8
011212303000,2019,13.2
011212303000,2020,7.5
011212312000,2010,21.2
011212312000,2011,26.3
011212312000,2012,25.3
011212312000,2013,27.6
011212312000,2014,26.8
011212312000,2015,22.2
011212312000,2016,22.5
011212312000,2017,25.1
011212312000,2018,26.0
