ID_region,year,p1767-przyjazdy
011210000000,1999,201858
011210000000,2000,247146
011210000000,2001,266787
011210000000,2002,241138
011210000000,2003,283261
011210000000,2004,405430
011210000000,2005,775383
011210000000,2006,1160123
011210000000,2007,1504701
011210000000,2008,1443804
011210000000,2009,1323476
011210000000,2010,1414237
011210000000,2011,1489485
011210000000,2012,1697886
011210000000,2013,1806212
011210000000,2014,1896691
011210000000,2015,2096792
011210000000,2016,2478603
011210000000,2017,2906313
011210000000,2018,3366983
011210000000,2019,4191148
011210000000,2020,1269173
012410000000,1999,81126
012410000000,2000,81486
012410000000,2001,86625
012410000000,2002,97936
012410000000,2003,121000
012410000000,2004,293345
012410000000,2005,528847
012410000000,2006,710051
012410000000,2007,970058
012410000000,2008,1225571
012410000000,2009,1161430
012410000000,2010,1183484
012410000000,2011,1250441
012410000000,2012,1257126
012410000000,2013,1246522
012410000000,2014,1320300
012410000000,2015,1511452
012410000000,2016,1587020
012410000000,2017,1932679
012410000000,2018,2402267
012410000000,2019,2411807
012410000000,2020,722161
020810000000,1999,111
020810000000,2000,97
020810000000,2001,2579
020810000000,2002,3503
020810000000,2003,3607
020810000000,2004,2021
020810000000,2005,447
020810000000,2006,4205
020810000000,2007,3406
020810000000,2008,2778
020810000000,2009,1546
020810000000,2010,2015
020810000000,2011,3648
020810000000,2012,6146
020810000000,2013,5961
020810000000,2014,5376
020810000000,2015,9911
020810000000,2016,4459
020810000000,2017,8428
020810000000,2018,10285
020810000000,2019,16065
020810000000,2020,9363
023010000000,1999,95516
023010000000,2000,104464
023010000000,2001,107244
023010000000,2002,108094
023010000000,2003,123577
023010000000,2004,171586
023010000000,2005,199960
023010000000,2006,319001
023010000000,2007,439353
023010000000,2008,637372
023010000000,2009,614011
023010000000,2010,696737
023010000000,2011,708460
023010000000,2012,773013
023010000000,2013,659471
023010000000,2014,708447
023010000000,2015,731899
023010000000,2016,843132
023010000000,2017,928857
023010000000,2018,1240552
023010000000,2019,1181389
023010000000,2020,347011
023210000000,1999,24620
023210000000,2000,28576
023210000000,2001,33485
023210000000,2002,38290
023210000000,2003,42773
023210000000,2004,48743
023210000000,2005,53734
023210000000,2006,89910
023210000000,2007,115522
023210000000,2008,145903
023210000000,2009,141506
023210000000,2010,138385
023210000000,2011,129795
023210000000,2012,172425
023210000000,2013,161666
023210000000,2014,131833
023210000000,2015,204870
023210000000,2016,231654
023210000000,2017,287063
023210000000,2018,298511
023210000000,2019,290724
023210000000,2020,92041
030210000000,1999,95598
030210000000,2000,104473
030210000000,2001,117084
030210000000,2002,116857
030210000000,2003,140818
030210000000,2004,178722
030210000000,2005,230150
030210000000,2006,426295
030210000000,2007,630252
030210000000,2008,727391
030210000000,2009,660046
030210000000,2010,796828
030210000000,2011,801037
030210000000,2012,970363
030210000000,2013,930383
030210000000,2014,1014767
030210000000,2015,1129944
030210000000,2016,1183374
030210000000,2017,1402358
030210000000,2018,1647930
030210000000,2019,1749902
030210000000,2020,500098
031610000000,1999,0
031610000000,2000,0
031610000000,2001,0
031610000000,2002,0
031610000000,2003,0
031610000000,2004,0
031610000000,2005,0
031610000000,2006,0
031610000000,2007,0
031610000000,2008,0
031610000000,2009,0
031610000000,2010,0
031610000000,2011,0
031610000000,2012,0
031610000000,2013,0
031610000000,2014,0
031610000000,2015,0
031610000000,2016,0
031610000000,2017,0
031610000000,2018,0
031610000000,2019,0
031610000000,2020,0
040410000000,1999,2658
040410000000,2000,7760
040410000000,2001,1002
040410000000,2002,6442
040410000000,2003,9841
040410000000,2004,12290
040410000000,2005,38750
040410000000,2006,68727
040410000000,2007,78704
040410000000,2008,141402
040410000000,2009,144591
040410000000,2010,137235
040410000000,2011,137863
040410000000,2012,168557
040410000000,2013,169853
040410000000,2014,145026
040410000000,2015,169946
040410000000,2016,169122
040410000000,2017,166686
040410000000,2018,207310
040410000000,2019,213211
040410000000,2020,62491
042210000000,1999,120386
042210000000,2000,132526
042210000000,2001,160939
042210000000,2002,158923
042210000000,2003,183598
042210000000,2004,231006
042210000000,2005,333393
042210000000,2006,632302
042210000000,2007,860087
042210000000,2008,981818
042210000000,2009,944299
042210000000,2010,1101955
042210000000,2011,1218235
042210000000,2012,1438537
042210000000,2013,1418405
042210000000,2014,1628756
042210000000,2015,1844330
042210000000,2016,1998435
042210000000,2017,2303801
042210000000,2018,2414623
042210000000,2019,2684114
042210000000,2020,845249
042810000000,1999,1365
042810000000,2000,916
042810000000,2001,978
042810000000,2002,483
042810000000,2003,225
042810000000,2004,242
042810000000,2005,162
042810000000,2006,0
042810000000,2007,0
042810000000,2008,0
042810000000,2009,0
042810000000,2010,0
042810000000,2011,0
042810000000,2012,0
042810000000,2013,0
042810000000,2014,0
042810000000,2015,0
042810000000,2016,21876
042810000000,2017,51933
042810000000,2018,61326
042810000000,2019,75231
042810000000,2020,29650
051010000000,1999,1688
051010000000,2000,391
051010000000,2001,1186
051010000000,2002,925
051010000000,2003,3665
051010000000,2004,3194
051010000000,2005,8890
051010000000,2006,93073
051010000000,2007,150431
051010000000,2008,178713
051010000000,2009,162946
051010000000,2010,203820
051010000000,2011,192064
051010000000,2012,228658
051010000000,2013,173265
051010000000,2014,125588
051010000000,2015,142604
051010000000,2016,118665
051010000000,2017,104704
051010000000,2018,109617
051010000000,2019,120748
051010000000,2020,37831
052610000000,1999,0
052610000000,2000,0
052610000000,2001,0
052610000000,2002,0
052610000000,2003,0
052610000000,2004,0
052610000000,2005,0
052610000000,2006,0
052610000000,2007,0
052610000000,2008,0
052610000000,2009,0
052610000000,2010,0
052610000000,2011,0
052610000000,2012,0
052610000000,2013,0
052610000000,2014,0
052610000000,2015,0
052610000000,2016,0
052610000000,2017,0
052610000000,2018,0
052610000000,2019,0
052610000000,2020,0
060610000000,1999,0
060610000000,2000,0
060610000000,2001,0
060610000000,2002,0
060610000000,2003,0
060610000000,2004,0
060610000000,2005,0
060610000000,2006,0
060610000000,2007,0
060610000000,2008,0
060610000000,2009,0
060610000000,2010,0
060610000000,2011,0
060610000000,2012,0
060610000000,2013,93273
060610000000,2014,91112
060610000000,2015,131641
060610000000,2016,187094
060610000000,2017,214071
060610000000,2018,225957
060610000000,2019,177422
060610000000,2020,61130
061810000000,1999,5304
061810000000,2000,4077
061810000000,2001,13822
061810000000,2002,25372
061810000000,2003,32668
061810000000,2004,35406
061810000000,2005,46341
061810000000,2006,100992
061810000000,2007,140238
061810000000,2008,159025
061810000000,2009,187354
061810000000,2010,223917
061810000000,2011,243694
