ID_region,year,p1767-udział-ruchu-pasażerów-polska-100
011210000000,2003,8.0
011210000000,2004,9.2
011210000000,2005,13.6
011210000000,2006,15.4
011210000000,2007,15.9
011210000000,2008,14.0
011210000000,2009,14.0
011210000000,2010,13.9
011210000000,2011,13.8
011210000000,2012,14.4
011210000000,2013,14.5
011210000000,2014,14.1
011210000000,2015,13.8
011210000000,2016,14.6
011210000000,2017,14.6
011210000000,2018,14.8
011210000000,2019,17.2
011210000000,2020,17.8
012410000000,2003,3.5
012410000000,2004,6.8
012410000000,2005,9.4
012410000000,2006,9.4
012410000000,2007,10.3
012410000000,2008,11.7
012410000000,2009,12.3
012410000000,2010,11.6
012410000000,2011,11.5
012410000000,2012,10.7
012410000000,2013,10.1
012410000000,2014,9.9
012410000000,2015,10.0
012410000000,2016,9.4
012410000000,2017,9.7
012410000000,2018,10.6
012410000000,2019,9.9
012410000000,2020,9.9
020810000000,2003,0.1
020810000000,2004,0.0
020810000000,2005,0.0
020810000000,2006,0.1
020810000000,2007,0.0
020810000000,2008,0.0
020810000000,2009,0.0
020810000000,2010,0.0
020810000000,2011,0.0
020810000000,2012,0.1
020810000000,2013,0.1
020810000000,2014,0.0
020810000000,2015,0.1
020810000000,2016,0.0
020810000000,2017,0.0
020810000000,2018,0.0
020810000000,2019,0.1
020810000000,2020,0.1
023010000000,2003,3.5
023010000000,2004,3.9
023010000000,2005,3.5
023010000000,2006,4.3
023010000000,2007,4.6
023010000000,2008,6.1
023010000000,2009,6.5
023010000000,2010,6.8
023010000000,2011,6.6
023010000000,2012,6.6
023010000000,2013,5.3
023010000000,2014,5.3
023010000000,2015,4.9
023010000000,2016,5.0
023010000000,2017,4.6
023010000000,2018,5.4
023010000000,2019,4.8
023010000000,2020,4.7
023210000000,2003,1.3
023210000000,2004,1.1
023210000000,2005,0.6
023210000000,2006,1.2
023210000000,2007,1.2
023210000000,2008,1.4
023210000000,2009,1.5
023210000000,2010,1.3
023210000000,2011,1.2
023210000000,2012,1.5
023210000000,2013,1.3
023210000000,2014,1.0
023210000000,2015,1.4
023210000000,2016,1.4
023210000000,2017,1.5
023210000000,2018,1.3
023210000000,2019,1.2
023210000000,2020,1.3
030210000000,2003,4.0
030210000000,2004,4.1
030210000000,2005,4.0
030210000000,2006,5.7
030210000000,2007,6.7
030210000000,2008,7.1
030210000000,2009,7.0
030210000000,2010,7.8
030210000000,2011,7.4
030210000000,2012,8.2
030210000000,2013,7.5
030210000000,2014,7.5
030210000000,2015,7.4
030210000000,2016,6.9
030210000000,2017,7.0
030210000000,2018,7.2
030210000000,2019,7.1
030210000000,2020,6.9
031610000000,2003,0.0
031610000000,2004,0.0
031610000000,2005,0.0
031610000000,2006,0.0
031610000000,2007,0.0
031610000000,2008,0.0
031610000000,2009,0.0
031610000000,2010,0.0
031610000000,2011,0.0
031610000000,2012,0.0
031610000000,2013,0.0
031610000000,2014,0.0
031610000000,2015,0.0
031610000000,2016,0.0
031610000000,2017,0.0
031610000000,2018,0.0
031610000000,2019,0.0
