ID_region,year,p2424-linie-kolejowe-ogółem-na-10-tysięcy-ludności
011210000000,2002,3.6
011210000000,2003,3.5
011210000000,2004,3.4
011210000000,2005,3.4
011210000000,2006,3.4
011210000000,2007,3.4
011210000000,2008,3.4
011210000000,2009,3.4
011210000000,2010,3.4
011210000000,2011,3.4
011210000000,2012,3.4
011210000000,2013,3.3
011210000000,2014,3.2
011210000000,2015,3.2
011210000000,2016,3.1
011210000000,2017,3.2
011210000000,2018,3.2
011210000000,2019,3.2
011210000000,2020,3.2
012410000000,2002,4.9
012410000000,2003,4.8
012410000000,2004,4.5
012410000000,2005,4.5
012410000000,2006,4.6
012410000000,2007,4.6
012410000000,2008,4.6
012410000000,2009,4.7
012410000000,2010,4.6
012410000000,2011,4.6
012410000000,2012,4.5
012410000000,2013,4.3
012410000000,2014,4.3
012410000000,2015,4.3
012410000000,2016,4.3
012410000000,2017,4.3
012410000000,2018,4.3
012410000000,2019,4.3
012410000000,2020,4.3
020810000000,2002,9.1
020810000000,2003,9.1
020810000000,2004,9.9
020810000000,2005,9.8
020810000000,2006,9.2
020810000000,2007,9.5
020810000000,2008,9.5
020810000000,2009,9.5
020810000000,2010,9.5
020810000000,2011,9.5
020810000000,2012,9.5
020810000000,2013,9.0
020810000000,2014,9.0
020810000000,2015,8.9
020810000000,2016,8.7
020810000000,2017,8.7
020810000000,2018,9.0
020810000000,2019,9.2
020810000000,2020,9.2
023010000000,2002,6.4
023010000000,2003,6.4
023010000000,2004,6.4
023010000000,2005,6.1
023010000000,2006,6.1
023010000000,2007,6.1
023010000000,2008,6.1
023010000000,2009,6.2
023010000000,2010,6.2
023010000000,2011,6.1
023010000000,2012,6.0
023010000000,2013,5.7
023010000000,2014,5.4
023010000000,2015,5.4
023010000000,2016,5.4
023010000000,2017,5.4
023010000000,2018,5.4
023010000000,2019,5.4
023010000000,2020,5.4
023210000000,2002,7.5
023210000000,2003,7.2
023210000000,2004,6.9
023210000000,2005,7.1
023210000000,2006,7.1
023210000000,2007,7.2
023210000000,2008,7.2
023210000000,2009,7.1
023210000000,2010,7.0
023210000000,2011,7.0
023210000000,2012,7.3
023210000000,2013,6.9
023210000000,2014,6.9
023210000000,2015,6.9
023210000000,2016,6.7
023210000000,2017,6.8
023210000000,2018,6.9
023210000000,2019,7.0
023210000000,2020,7.0
030210000000,2002,6.4
030210000000,2003,6.2
030210000000,2004,6.1
030210000000,2005,6.1
030210000000,2006,6.0
030210000000,2007,6.0
030210000000,2008,6.1
030210000000,2009,6.1
030210000000,2010,6.1
030210000000,2011,6.1
030210000000,2012,6.1
030210000000,2013,6.1
030210000000,2014,6.0
030210000000,2015,5.9
030210000000,2016,6.0
030210000000,2017,6.0
030210000000,2018,5.8
030210000000,2019,5.9
030210000000,2020,6.0
