ID_region,year,p2424-linie-kolejowe-ogółem-na-100-km2
011210000000,2002,7.7
011210000000,2003,7.5
011210000000,2004,7.4
011210000000,2005,7.3
011210000000,2006,7.4
011210000000,2007,7.3
011210000000,2008,7.3
011210000000,2009,7.4
011210000000,2010,7.4
011210000000,2011,7.4
011210000000,2012,7.4
011210000000,2013,7.4
011210000000,2014,7.2
011210000000,2015,7.2
011210000000,2016,7.0
011210000000,2017,7.1
011210000000,2018,7.2
011210000000,2019,7.1
011210000000,2020,7.1
012410000000,2002,18.9
012410000000,2003,18.4
012410000000,2004,17.2
012410000000,2005,17.2
012410000000,2006,17.4
012410000000,2007,17.4
012410000000,2008,17.4
012410000000,2009,17.5
012410000000,2010,17.5
012410000000,2011,17.4
012410000000,2012,16.8
012410000000,2013,16.0
012410000000,2014,16.0
012410000000,2015,16.0
012410000000,2016,15.9
012410000000,2017,15.8
012410000000,2018,15.8
012410000000,2019,15.6
012410000000,2020,15.5
020810000000,2002,6.5
020810000000,2003,6.5
020810000000,2004,7.2
020810000000,2005,7.0
020810000000,2006,6.6
020810000000,2007,6.8
020810000000,2008,6.9
020810000000,2009,6.9
020810000000,2010,6.9
020810000000,2011,6.9
020810000000,2012,6.9
020810000000,2013,6.6
020810000000,2014,6.6
020810000000,2015,6.5
020810000000,2016,6.4
020810000000,2017,6.3
020810000000,2018,6.5
020810000000,2019,6.6
020810000000,2020,6.6
023010000000,2002,7.2
023010000000,2003,7.2
023010000000,2004,7.2
023010000000,2005,6.9
023010000000,2006,6.9
023010000000,2007,6.9
023010000000,2008,6.9
023010000000,2009,7.1
023010000000,2010,7.1
023010000000,2011,7.0
023010000000,2012,6.9
023010000000,2013,6.6
023010000000,2014,6.3
023010000000,2015,6.3
023010000000,2016,6.3
023010000000,2017,6.3
023010000000,2018,6.3
023010000000,2019,6.3
023010000000,2020,6.3
023210000000,2002,5.6
023210000000,2003,5.3
023210000000,2004,5.1
023210000000,2005,5.3
023210000000,2006,5.3
023210000000,2007,5.3
023210000000,2008,5.3
023210000000,2009,5.3
023210000000,2010,5.3
023210000000,2011,5.3
023210000000,2012,5.5
023210000000,2013,5.2
023210000000,2014,5.2
023210000000,2015,5.2
023210000000,2016,5.0
023210000000,2017,5.1
023210000000,2018,5.1
023210000000,2019,5.2
023210000000,2020,5.2
030210000000,2002,9.3
030210000000,2003,9.0
030210000000,2004,8.9
030210000000,2005,8.9
030210000000,2006,8.7
030210000000,2007,8.7
030210000000,2008,8.8
030210000000,2009,8.8
030210000000,2010,8.9
030210000000,2011,8.9
030210000000,2012,8.9
030210000000,2013,8.8
030210000000,2014,8.8
