ID_region,year,p3571-dalekobieżne
011210000000,2014,2
011210000000,2015,4
011210000000,2016,3
011210000000,2017,1
011210000000,2018,5
011210000000,2019,9
011210000000,2020,2
012410000000,2014,30
012410000000,2015,23
012410000000,2016,16
012410000000,2017,12
012410000000,2018,11
012410000000,2019,4
012410000000,2020,2
020810000000,2014,16
020810000000,2015,14
020810000000,2016,12
020810000000,2017,9
020810000000,2018,9
020810000000,2019,6
020810000000,2020,4
023010000000,2014,21
023010000000,2015,21
023010000000,2016,10
023010000000,2017,7
023010000000,2018,8
023010000000,2019,3
023010000000,2020,2
023210000000,2014,36
023210000000,2015,35
023210000000,2016,26
023210000000,2017,18
023210000000,2018,19
023210000000,2019,18
023210000000,2020,6
030210000000,2014,51
030210000000,2015,46
030210000000,2016,31
030210000000,2017,27
030210000000,2018,26
030210000000,2019,20
030210000000,2020,14
031610000000,2014,3
031610000000,2015,0
031610000000,2016,0
031610000000,2017,0
031610000000,2018,0
031610000000,2019,0
031610000000,2020,0
040410000000,2014,46
040410000000,2015,41
040410000000,2016,41
040410000000,2017,40
040410000000,2018,34
040410000000,2019,36
040410000000,2020,25
042210000000,2014,15
042210000000,2015,14
042210000000,2016,13
042210000000,2017,11
042210000000,2018,11
042210000000,2019,6
042210000000,2020,8
042810000000,2014,47
042810000000,2015,44
042810000000,2016,47
042810000000,2017,27
042810000000,2018,41
042810000000,2019,18
042810000000,2020,9
051010000000,2014,35
051010000000,2015,35
051010000000,2016,32
051010000000,2017,25
051010000000,2018,16
051010000000,2019,11
051010000000,2020,7
052610000000,2014,29
052610000000,2015,19
052610000000,2016,21
052610000000,2017,17
052610000000,2018,16
052610000000,2019,16
052610000000,2020,13
060610000000,2014,52
060610000000,2015,50
060610000000,2016,37
060610000000,2017,33
060610000000,2018,25
060610000000,2019,28
060610000000,2020,20
061810000000,2014,22
061810000000,2015,24
061810000000,2016,35
061810000000,2017,35
061810000000,2018,32
061810000000,2019,30
061810000000,2020,19
062010000000,2014,42
062010000000,2015,40
062010000000,2016,38
062010000000,2017,10
062010000000,2018,29
062010000000,2019,29
062010000000,2020,24
071410000000,2014,43
071410000000,2015,56
071410000000,2016,42
071410000000,2017,48
071410000000,2018,57
071410000000,2019,70
071410000000,2020,84
071420000000,2014,75
071420000000,2015,78
071420000000,2016,75
071420000000,2017,37
071420000000,2018,17
071420000000,2019,12
071420000000,2020,7
