ID_region,year,p3571-miejskie
011210000000,2014,15
011210000000,2015,9
011210000000,2016,9
011210000000,2017,2
011210000000,2018,1
011210000000,2019,5
011210000000,2020,0
012410000000,2014,16
012410000000,2015,22
012410000000,2016,27
012410000000,2017,19
012410000000,2018,19
012410000000,2019,21
012410000000,2020,21
020810000000,2014,9
020810000000,2015,5
020810000000,2016,5
020810000000,2017,2
020810000000,2018,3
020810000000,2019,3
020810000000,2020,3
023010000000,2014,6
023010000000,2015,6
023010000000,2016,0
023010000000,2017,0
023010000000,2018,0
023010000000,2019,0
023010000000,2020,0
023210000000,2014,15
023210000000,2015,6
023210000000,2016,6
023210000000,2017,6
023210000000,2018,6
023210000000,2019,6
023210000000,2020,6
030210000000,2014,25
030210000000,2015,14
030210000000,2016,13
030210000000,2017,17
030210000000,2018,15
030210000000,2019,18
030210000000,2020,20
031610000000,2014,9
031610000000,2015,10
031610000000,2016,10
031610000000,2017,10
031610000000,2018,10
031610000000,2019,10
031610000000,2020,10
040410000000,2014,7
040410000000,2015,14
040410000000,2016,7
040410000000,2017,11
040410000000,2018,22
040410000000,2019,22
040410000000,2020,22
042210000000,2014,20
042210000000,2015,21
042210000000,2016,4
042210000000,2017,5
042210000000,2018,6
042210000000,2019,5
042210000000,2020,5
042810000000,2014,32
042810000000,2015,32
042810000000,2016,32
042810000000,2017,49
042810000000,2018,49
042810000000,2019,43
042810000000,2020,43
051010000000,2014,12
051010000000,2015,12
051010000000,2016,14
051010000000,2017,14
051010000000,2018,13
051010000000,2019,15
051010000000,2020,15
052610000000,2014,0
052610000000,2015,0
052610000000,2016,0
052610000000,2017,0
052610000000,2018,0
052610000000,2019,0
052610000000,2020,0
060610000000,2014,0
060610000000,2015,2
060610000000,2016,2
060610000000,2017,3
060610000000,2018,2
060610000000,2019,2
060610000000,2020,0
061810000000,2014,4
061810000000,2015,5
061810000000,2016,0
061810000000,2017,0
061810000000,2018,0
061810000000,2019,0
061810000000,2020,0
062010000000,2014,6
062010000000,2015,6
062010000000,2016,6
062010000000,2017,0
062010000000,2018,10
062010000000,2019,12
062010000000,2020,8
071410000000,2014,1
071410000000,2015,0
071410000000,2016,1
071410000000,2017,1
071410000000,2018,3
071410000000,2019,3
071410000000,2020,0
071420000000,2014,31
071420000000,2015,43
071420000000,2016,47
071420000000,2017,10
071420000000,2018,10
071420000000,2019,7
071420000000,2020,1
