ID_region,year,p3571-regionalne
011210000000,2014,42
011210000000,2015,34
011210000000,2016,20
011210000000,2017,14
011210000000,2018,15
011210000000,2019,20
011210000000,2020,14
012410000000,2014,78
012410000000,2015,84
012410000000,2016,51
012410000000,2017,45
012410000000,2018,36
012410000000,2019,16
012410000000,2020,32
020810000000,2014,151
020810000000,2015,93
020810000000,2016,92
020810000000,2017,79
020810000000,2018,46
020810000000,2019,112
020810000000,2020,106
023010000000,2014,187
023010000000,2015,158
023010000000,2016,143
023010000000,2017,129
023010000000,2018,125
023010000000,2019,85
023010000000,2020,99
023210000000,2014,263
023210000000,2015,230
023210000000,2016,224
023210000000,2017,175
023210000000,2018,165
023210000000,2019,166
023210000000,2020,158
030210000000,2014,163
030210000000,2015,141
030210000000,2016,138
030210000000,2017,130
030210000000,2018,117
030210000000,2019,104
030210000000,2020,93
031610000000,2014,49
031610000000,2015,69
031610000000,2016,19
031610000000,2017,15
031610000000,2018,13
031610000000,2019,13
031610000000,2020,13
040410000000,2014,372
040410000000,2015,394
040410000000,2016,367
040410000000,2017,229
040410000000,2018,184
040410000000,2019,187
040410000000,2020,188
042210000000,2014,149
042210000000,2015,155
042210000000,2016,137
042210000000,2017,153
042210000000,2018,135
042210000000,2019,118
042210000000,2020,147
042810000000,2014,198
042810000000,2015,180
042810000000,2016,148
042810000000,2017,120
042810000000,2018,102
042810000000,2019,65
042810000000,2020,38
051010000000,2014,144
051010000000,2015,138
051010000000,2016,122
051010000000,2017,98
051010000000,2018,81
051010000000,2019,77
051010000000,2020,69
052610000000,2014,50
052610000000,2015,41
052610000000,2016,38
052610000000,2017,34
052610000000,2018,31
052610000000,2019,20
052610000000,2020,7
060610000000,2014,266
060610000000,2015,263
060610000000,2016,236
060610000000,2017,294
060610000000,2018,164
060610000000,2019,147
060610000000,2020,132
061810000000,2014,82
061810000000,2015,81
061810000000,2016,91
061810000000,2017,88
061810000000,2018,99
061810000000,2019,105
061810000000,2020,85
062010000000,2014,132
062010000000,2015,123
062010000000,2016,122
062010000000,2017,6
062010000000,2018,131
062010000000,2019,114
062010000000,2020,100
071410000000,2014,41
071410000000,2015,48
071410000000,2016,34
071410000000,2017,32
071410000000,2018,16
071410000000,2019,19
071410000000,2020,17
071420000000,2014,335
071420000000,2015,313
071420000000,2016,305
071420000000,2017,236
071420000000,2018,102
071420000000,2019,137
071420000000,2020,90
