ID_subregion,year,p3501-produkt-krajowy-brutto-na-1-mieszkańca
011212000000,2000,11917
011212000000,2001,13782
011212000000,2002,14178
011212000000,2003,15027
011212000000,2004,15853
011212000000,2005,17153
011212000000,2006,18959
011212000000,2007,20870
011212000000,2008,24193
011212000000,2009,24935
011212000000,2010,25733
011212000000,2011,28779
011212000000,2012,29939
011212000000,2013,30636
011212000000,2014,32091
011212000000,2015,34938
011212000000,2016,36955
011212000000,2017,39928
011212000000,2018,43067
011212000000,2019,45697
011212100000,2000,30291
011212100000,2001,29644
011212100000,2002,31446
011212100000,2003,33612
011212100000,2004,37847
011212100000,2005,39957
011212100000,2006,45107
011212100000,2007,49937
011212100000,2008,52899
011212100000,2009,55833
011212100000,2010,58638
011212100000,2011,63410
011212100000,2012,65521
011212100000,2013,68445
011212100000,2014,71682
011212100000,2015,76323
011212100000,2016,80533
011212100000,2017,86762
011212100000,2018,93753
011212100000,2019,101491
011212200000,2000,13090
011212200000,2001,13588
011212200000,2002,14041
011212200000,2003,14437
011212200000,2004,15733
011212200000,2005,17014
011212200000,2006,18106
011212200000,2007,19820
011212200000,2008,22434
011212200000,2009,23358
011212200000,2010,23403
011212200000,2011,25673
011212200000,2012,26277
011212200000,2013,26393
011212200000,2014,28301
011212200000,2015,29588
011212200000,2016,29769
011212200000,2017,31990
011212200000,2018,35288
011212200000,2019,38076
011212300000,2000,17192
011212300000,2001,17045
011212300000,2002,18180
011212300000,2003,19271
011212300000,2004,20132
011212300000,2005,21315
011212300000,2006,22726
011212300000,2007,24708
011212300000,2008,26329
011212300000,2009,27842
011212300000,2010,29303
011212300000,2011,32167
011212300000,2012,32607
011212300000,2013,32590
011212300000,2014,33779
011212300000,2015,36115
011212300000,2016,37244
011212300000,2017,39764
011212300000,2018,41340
011212300000,2019,44019
011212400000,2000,13444
011212400000,2001,13775
011212400000,2002,14585
011212400000,2003,14750
011212400000,2004,16512
011212400000,2005,17290
011212400000,2006,18984
011212400000,2007,20352
011212400000,2008,22385
011212400000,2009,23427
011212400000,2010,24960
011212400000,2011,28451
011212400000,2012,29243
011212400000,2013,28326
011212400000,2014,28919
011212400000,2015,30628
011212400000,2016,31015
011212400000,2017,33259
011212400000,2018,35138
011212400000,2019,37604
011216900000,2000,12150
011216900000,2001,12536
011216900000,2002,13071
011216900000,2003,13666
011216900000,2004,14604
011216900000,2005,15696
011216900000,2006,16742
011216900000,2007,18259
011216900000,2008,20169
011216900000,2009,21332
011216900000,2010,22022
011216900000,2011,23096
011216900000,2012,24065
011216900000,2013,24190
011216900000,2014,25157
011216900000,2015,26684
011216900000,2016,27888
011216900000,2017,29992
011216900000,2018,32271
011216900000,2019,34462
012414400000,2000,21681
012414400000,2001,22406
012414400000,2002,22728
012414400000,2003,23660
012414400000,2004,25805
012414400000,2005,26666
012414400000,2006,28309
012414400000,2007,30742
012414400000,2008,33695
012414400000,2009,36492
012414400000,2010,37364
012414400000,2011,40263
012414400000,2012,42093
012414400000,2013,42391
012414400000,2014,45135
012414400000,2015,49293
012414400000,2016,51452
012414400000,2017,53878
012414400000,2018,57128
012414400000,2019,60981
012414500000,2000,15259
012414500000,2001,16592
012414500000,2002,17893
012414500000,2003,18201
012414500000,2004,19608
012414500000,2005,21057
012414500000,2006,22334
012414500000,2007,24140
012414500000,2008,26097
012414500000,2009,28180
012414500000,2010,29137
012414500000,2011,31020
012414500000,2012,31461
012414500000,2013,31698
012414500000,2014,32758
012414500000,2015,34659
012414500000,2016,34880
012414500000,2017,37770
012414500000,2018,40707
012414500000,2019,43489
012414600000,2000,17400
012414600000,2001,19402
012414600000,2002,19240
012414600000,2003,20033
012414600000,2004,22890
012414600000,2005,23995
012414600000,2006,24565
012414600000,2007,27556
012414600000,2008,29127
012414600000,2009,30013
012414600000,2010,31463
012414600000,2011,34324
012414600000,2012,35466
012414600000,2013,36076
012414600000,2014,37620
012414600000,2015,39956
012414600000,2016,41895
012414600000,2017,45026
012414600000,2018,47530
012414600000,2019,52239
012414700000,2000,20913
012414700000,2001,21405
012414700000,2002,22135
012414700000,2003,23026
012414700000,2004,26129
012414700000,2005,26826
012414700000,2006,30293
012414700000,2007,34177
012414700000,2008,37115
012414700000,2009,41462
012414700000,2010,44095
012414700000,2011,47270
012414700000,2012,50482
012414700000,2013,50560
012414700000,2014,53873
012414700000,2015,56241
012414700000,2016,59511
012414700000,2017,61710
012414700000,2018,65459
012414700000,2019,71842
012414800000,2000,27399
012414800000,2001,28315
012414800000,2002,32150
012414800000,2003,32081
012414800000,2004,34992
012414800000,2005,36577
012414800000,2006,38651
012414800000,2007,43606
012414800000,2008,47552
012414800000,2009,51139
012414800000,2010,51587
012414800000,2011,56413
012414800000,2012,57432
012414800000,2013,59119
012414800000,2014,60511
012414800000,2015,63132
012414800000,2016,63730
012414800000,2017,68586
012414800000,2018,74576
012414800000,2019,80603
012414900000,2000,16940
012414900000,2001,18398
012414900000,2002,18595
012414900000,2003,19571
012414900000,2004,24552
012414900000,2005,24835
012414900000,2006,24926
012414900000,2007,26834
012414900000,2008,32153
012414900000,2009,32541
012414900000,2010,36561
012414900000,2011,40461
012414900000,2012,40272
012414900000,2013,38641
012414900000,2014,39226
012414900000,2015,41021
012414900000,2016,41400
012414900000,2017,45799
012414900000,2018,49448
012414900000,2019,52431
012415000000,2000,19476
012415000000,2001,19180
012415000000,2002,20796
012415000000,2003,22008
012415000000,2004,26873
012415000000,2005,26020
012415000000,2006,29956
012415000000,2007,32513
012415000000,2008,33654
012415000000,2009,33091
012415000000,2010,35751
012415000000,2011,38569
012415000000,2012,39650
012415000000,2013,39127
012415000000,2014,41733
012415000000,2015,43777
012415000000,2016,46048
012415000000,2017,48445
012415000000,2018,52780
012415000000,2019,54664
012415100000,2000,25632
012415100000,2001,28826
012415100000,2002,29423
012415100000,2003,33460
012415100000,2004,35756
012415100000,2005,36604
012415100000,2006,36799
012415100000,2007,41777
012415100000,2008,48518
012415100000,2009,54368
012415100000,2010,56187
012415100000,2011,60736
012415100000,2012,60224
012415100000,2013,57071
012415100000,2014,56920
012415100000,2015,59333
012415100000,2016,61236
012415100000,2017,66129
012415100000,2018,68312
012415100000,2019,69949
020811300000,2000,18316
020811300000,2001,18946
020811300000,2002,19681
020811300000,2003,19787
020811300000,2004,21713
020811300000,2005,23118
020811300000,2006,24976
020811300000,2007,27529
020811300000,2008,29551
020811300000,2009,31699
020811300000,2010,32782
020811300000,2011,33757
020811300000,2012,35532
020811300000,2013,35321
020811300000,2014,37340
020811300000,2015,39036
020811300000,2016,40546
020811300000,2017,42176
020811300000,2018,44673
020811300000,2019,47981
020811400000,2000,17000
020811400000,2001,17643
020811400000,2002,18090
020811400000,2003,18843
