,ID_region,ID_subregion,ID_powiatu,year,p1767-przyjazdy,p1767-tranzyt,p1767-udział-ruchu-pasażerów-polska-100,p1767-wyjazdy,p2424-linie-kolejowe-ogółem-na-10-tysięcy-ludności,p2424-linie-kolejowe-ogółem-na-100-km2,p2504-1-kwartał-ogółem,p2504-2-kwartał-ogółem,p2504-3-kwartał-ogółem,p2504-4-kwartał-ogółem,p2861-przeciętna-liczba-emerytów-i-rencistów-ogółem,p3441-liczba-nowo-utworzonych-miejsc-pracy,p3441-liczba-zlikwidowanych-miejsc-pracy,p3571-dalekobieżne,p3571-miejskie,p3571-podmiejskie,p3571-regionalne,p3603-przewozy-pasażerskie-na-1-mieszkańca,p3603-przewozy-pasażerów-w-mln,p3501-produkt-krajowy-brutto-na-1-mieszkańca,p2013-hotele-4-i-5-gwiazdkowemotelepensjonaty-w-ogólnej-liczbie-hotelimotelipensjonatów-ogółem,p2013-hotele-kategorii-s,p2013-hotele-kategorii-ss,p2013-hotele-kategorii-sss,p2013-hotele-kategorii-ssss,p2013-hotele-kategorii-sssss,p2013-motele-kategorii-s,p2013-motele-kategorii-ss,p2013-motele-kategorii-sss,p2013-motele-kategorii-ssss,p2013-motele-kategorii-sssss,p2013-pensjonaty-kategorii-s,p2013-pensjonaty-kategorii-ss,p2013-pensjonaty-kategorii-sss,p2013-pensjonaty-kategorii-ssss,p2013-pensjonaty-kategorii-sssss,p2420-pojazdy-samochodowe-i-ciągniki-na-1000-ludności,p2420-samochody-osobowe-na-1000-ludności,p2497-ogółem,p2497-przeciętne-miesięczne-wynagrodzenia-brutto-w-relacji-do-średniej-krajowej-polska100,p2596-lasy-gminne-powierzchnia,p2596-parki-spacerowo-wypoczynkowe-obiekty,p2596-parki-zieleńce-i-tereny-zieleni-osiedlowej-powierzchnia,p2596-zieleń-uliczna-powierzchnia,p2596-zieleńce-obiekty,p2617-krajowy-przyjazdy,p2617-krajowy-wyjazdy,p2617-międzynarodowy-przyjazdy,p2617-międzynarodowy-wyjazdy,p2670-ogółem,p2759-turyści-zagraniczni-nierezydenci-ogółem,p2759-turyści-zagraniczni-nierezydenci-pozostałe-kraje,p2813-handel-naprawa-pojazdów-samochodowych-transport-i-gospodarka-magazynowa-zakwaterowanie-i-gastronomia-informacja-i-komunikacja-ogółem,p3303-udział-parków-zieleńców-i-terenów-zieleni-osiedlowej-w-powierzchni-ogółem,p3350-stopień-wykorzystania-miejsc-noclegowych
0,11210000000,11212000000,11212001000,1995,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1,11210000000,11212000000,11212001000,1996,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2,11210000000,11212000000,11212001000,1997,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3,11210000000,11212000000,11212001000,1998,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4,11210000000,11212000000,11212001000,1999,201858.0,18493.0,,199136.0,,,,,,,820701.0,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
5,11210000000,11212000000,11212001000,2000,247146.0,22327.0,,247542.0,,,,,,,816317.0,,,,,,,,,11917.0,,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
6,11210000000,11212000000,11212001000,2001,266787.0,15579.0,,266932.0,,,,,,,800306.0,,,,,,,,,13782.0,,1,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
7,11210000000,11212000000,11212001000,2002,241138.0,14616.0,,245098.0,3.6,7.7,,,,,783214.0,,,,,,,,,14178.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,1880.68,84.0,,,,,,,,,,,,,,,
8,11210000000,11212000000,11212001000,2003,283261.0,26739.0,8.0,283214.0,3.5,7.5,,,,,773596.0,,,,,,,,,15027.0,0.0,1,1,2,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,,,1933.21,83.5,,,,,,,,,,9.6,,,,,
9,11210000000,11212000000,11212001000,2004,405430.0,27662.0,9.2,408031.0,3.4,7.4,,,,,768948.0,,,,,,,,,15853.0,0.0,0,2,2,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,,,1987.96,82.5,160.1,2.0,70.2,5.0,19.0,,,,,8.7,,,,0.1,
10,11210000000,11212000000,11212001000,2005,775383.0,17292.0,13.6,793455.0,3.4,7.3,2409.59,2270.96,2323.69,2371.63,762042.0,,,,,,,,,17153.0,0.0,0,2,2,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,,,2016.51,80.4,158.8,2.0,55.3,5.0,21.0,,,,,7.6,4439.0,847.0,1873.0,0.1,
