ID_region,ID_subregion,ID_powiatu,year,p1767-przyjazdy,p1767-tranzyt,p1767-udział-ruchu-pasażerów-polska-100,p1767-wyjazdy,p2424-linie-kolejowe-ogółem-na-10-tysięcy-ludności,p2424-linie-kolejowe-ogółem-na-100-km2,p2504-1-kwartał-ogółem,p2504-2-kwartał-ogółem,p2504-3-kwartał-ogółem,p2504-4-kwartał-ogółem,p2861-przeciętna-liczba-emerytów-i-rencistów-ogółem,p3441-liczba-nowo-utworzonych-miejsc-pracy,p3441-liczba-zlikwidowanych-miejsc-pracy,p3571-dalekobieżne,p3571-miejskie,p3571-podmiejskie,p3571-regionalne,p3603-przewozy-pasażerskie-na-1-mieszkańca,p3603-przewozy-pasażerów-w-mln,p3501-produkt-krajowy-brutto-na-1-mieszkańca,p2013-hotele-4-i-5-gwiazdkowemotelepensjonaty-w-ogólnej-liczbie-hotelimotelipensjonatów-ogółem,p2013-hotele-kategorii-s,p2013-hotele-kategorii-ss,p2013-hotele-kategorii-sss,p2013-hotele-kategorii-ssss,p2013-hotele-kategorii-sssss,p2013-motele-kategorii-s,p2013-motele-kategorii-ss,p2013-motele-kategorii-sss,p2013-motele-kategorii-ssss,p2013-motele-kategorii-sssss,p2013-pensjonaty-kategorii-s,p2013-pensjonaty-kategorii-ss,p2013-pensjonaty-kategorii-sss,p2013-pensjonaty-kategorii-ssss,p2013-pensjonaty-kategorii-sssss,p2420-pojazdy-samochodowe-i-ciągniki-na-1000-ludności,p2420-samochody-osobowe-na-1000-ludności,p2497-ogółem,p2497-przeciętne-miesięczne-wynagrodzenia-brutto-w-relacji-do-średniej-krajowej-polska100,p2596-lasy-gminne-powierzchnia,p2596-parki-spacerowo-wypoczynkowe-obiekty,p2596-parki-zieleńce-i-tereny-zieleni-osiedlowej-powierzchnia,p2596-zieleń-uliczna-powierzchnia,p2596-zieleńce-obiekty,p2617-krajowy-przyjazdy,p2617-krajowy-wyjazdy,p2617-międzynarodowy-przyjazdy,p2617-międzynarodowy-wyjazdy,p2670-ogółem,p2759-turyści-zagraniczni-nierezydenci-ogółem,p2759-turyści-zagraniczni-nierezydenci-pozostałe-kraje,p2813-handel-naprawa-pojazdów-samochodowych-transport-i-gospodarka-magazynowa-zakwaterowanie-i-gastronomia-informacja-i-komunikacja-ogółem,p3303-udział-parków-zieleńców-i-terenów-zieleni-osiedlowej-w-powierzchni-ogółem,p3350-stopień-wykorzystania-miejsc-noclegowych-w-kolejnym-roku
11210000000,11212000000,11212001000,2010,1414237.0,20466.0,13.9,1429293.0,3.4,7.4,3359.8,3200.28,3241.3,3400.12,756067.0,57.9,32.9,,,,,116.99,389.7,25733.0,0.0,0,2,5,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,550.0,407.5,2935.34,85.5,159.5,2.0,54.6,5.0,21.0,0.0,0.0,0.0,0.0,5.2,3197.0,208.0,2978.0,0.1,22.0
11210000000,11212000000,11212001000,2011,1489485.0,12388.0,13.8,1512187.0,3.4,7.4,3519.12,3398.24,3465.33,3533.29,744516.0,44.1,28.7,,,,,118.74,396.7,28779.0,0.0,1,2,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,573.0,425.2,3128.68,86.3,159.8,2.0,56.8,5.0,21.0,0.0,0.0,0.0,0.0,5.7,3363.0,173.0,2825.0,0.1,22.8
11210000000,11212000000,11212001000,2012,1697886.0,18802.0,14.4,1722070.0,3.4,7.4,3697.16,3581.54,3520.07,3632.63,733694.0,35.8,27.6,,,,,121.9,408.4,29939.0,0.0,1,3,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,588.0,437.6,3208.34,85.7,159.5,2.0,56.9,5.0,23.0,0.0,0.0,0.0,0.0,6.8,3275.0,140.0,2993.0,0.1,19.6
11210000000,11212000000,11212001000,2013,1806212.0,5778.0,14.5,1835626.0,3.3,7.4,3774.12,3596.28,3643.99,3750.41,726883.0,48.0,31.5,,,,,124.11,416.6,30636.0,0.0,0,3,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,605.0,449.6,3230.64,83.3,158.03,2.0,54.38,5.0,23.0,0.0,0.0,0.0,0.0,6.6,4630.0,258.0,3176.0,0.1,21.7
11210000000,11212000000,11212001000,2014,1896691.0,4234.0,14.1,1916867.0,3.2,7.2,3902.4,3683.43,3775.8,3915.68,719733.0,48.9,25.1,2.0,15.0,193.0,42.0,144.14,484.9,32091.0,0.0,0,3,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,624.0,463.7,3359.59,83.9,155.03,2.0,54.92,5.0,27.0,0.0,0.0,0.0,0.0,5.6,3054.0,70.0,3177.0,0.1,22.1
11210000000,11212000000,11212001000,2015,2096792.0,7370.0,13.8,2117009.0,3.2,7.2,4103.62,3874.54,3938.3,4160.5,718757.0,52.8,27.6,4.0,9.0,235.0,34.0,117.75,396.9,34938.0,0.0,0,3,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,646.0,479.9,3464.39,83.5,152.03,2.0,55.6,5.0,27.0,0.0,0.0,0.0,0.0,4.2,2792.0,325.0,3142.0,0.1,22.8
11210000000,11212000000,11212001000,2016,2478603.0,2880.0,14.6,2502162.0,3.1,7.0,4272.77,4083.58,4145.74,4212.93,719152.0,68.6,29.6,3.0,9.0,186.0,20.0,123.86,418.2,36955.0,0.0,0,3,7,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,676.0,503.6,3606.23,84.1,147.61,2.0,57.24,5.0,27.0,0.0,0.0,0.0,0.0,3.8,3337.0,312.0,3196.0,0.1,22.1
11210000000,11212000000,11212001000,2017,2906313.0,1124.0,14.6,2927752.0,3.2,7.1,4486.54,4324.72,4415.87,4590.72,719851.0,66.9,24.1,1.0,2.0,177.0,14.0,131.39,444.9,39928.0,0.0,0,3,7,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,699.0,521.9,3783.8,83.6,147.77,3.0,65.24,5.0,27.0,0.0,0.0,0.0,0.0,3.2,2814.0,330.0,3523.0,0.1,24.2
11210000000,11212000000,11212001000,2018,3366983.0,2437.0,14.8,3399949.0,3.2,7.2,4796.37,4638.08,4707.11,4901.28,739126.0,68.9,21.8,5.0,1.0,153.0,15.0,132.73,450.7,43067.0,0.0,0,3,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,726.0,542.4,4003.85,82.8,148.42,3.0,64.93,5.0,27.0,0.0,0.0,0.0,0.0,2.9,3701.0,406.0,3290.0,0.1,27.1
11210000000,11212000000,11212001000,2019,4191148.0,1809.0,17.2,4211719.0,3.2,7.1,5173.45,5028.67,5155.7,5472.65,743998.0,76.4,32.9,9.0,5.0,142.0,20.0,133.69,455.2,45697.0,0.0,0,2,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,755.0,564.4,4289.47,82.8,145.31,3.0,68.15,5.0,41.0,0.0,0.0,0.0,0.0,1.7,6125.0,815.0,3489.0,0.1,28.3
