ID_unitPatent,ID_unit,name,level,kind
,000000000000,POLSKA,0,
000000000000,010000000000,MAKROREGION POŁUDNIOWY,1,
010000000000,011200000000,MAŁOPOLSKIE,2,
011200000000,011210000000,REGION MAŁOPOLSKIE,3,
011210000000,011212000000,PODREGION KRAKOWSKI,4,
011212000000,011212001000,Powiat bocheński,5,1
011212001000,011212001011,Bochnia,6,1
011212001000,011212001022,Bochnia,6,2
011212001000,011212001032,Drwinia,6,2
011212001000,011212001042,Lipnica Murowana,6,2
011212001000,011212001052,Łapanów,6,2
011212001000,011212001063,Nowy Wiśnicz,6,3
011212001063,011212001064,Nowy Wiśnicz - miasto,6,4
011212001063,011212001065,Nowy Wiśnicz - obszar wiejski,6,5
011212001000,011212001072,Rzezawa,6,2
011212001000,011212001082,Trzciana,6,2
011212001000,011212001092,Żegocina,6,2
011212000000,011212006000,Powiat krakowski,5,1
011212006000,011212006012,Czernichów,6,2
011212006000,011212006022,Igołomia-Wawrzeńczyce,6,2
011212006000,011212006032,Iwanowice,6,2
011212006000,011212006042,Jerzmanowice-Przeginia,6,2
011212006000,011212006052,Kocmyrzów-Luborzyca,6,2
011212006000,011212006063,Krzeszowice,6,3
011212006063,011212006064,Krzeszowice - miasto,6,4
011212006063,011212006065,Krzeszowice - obszar wiejski,6,5
011212006000,011212006072,Liszki,6,2
011212006000,011212006082,Michałowice,6,2
011212006000,011212006092,Mogilany,6,2
011212006000,011212006103,Skała,6,3
011212006103,011212006104,Skała - miasto,6,4
011212006103,011212006105,Skała - obszar wiejski,6,5
011212006000,011212006113,Skawina,6,3
011212006113,011212006114,Skawina - miasto,6,4
011212006113,011212006115,Skawina - obszar wiejski,6,5
011212006000,011212006123,Słomniki,6,3
011212006123,011212006124,Słomniki - miasto,6,4
011212006123,011212006125,Słomniki - obszar wiejski,6,5
011212006000,011212006132,Sułoszowa,6,2
011212006000,011212006142,Świątniki Górne,6,2
011212006000,011212006143,Świątniki Górne,6,3
011212006143,011212006144,Świątniki Górne - miasto,6,4
